,Website,Time,Direction,Length
0,linkedin,0.0,1.0,174
1,linkedin,0.0004369999999999652,1.0,174
2,linkedin,0.41455899999999996,1.0,222
3,linkedin,0.415626,1.0,222
4,linkedin,0.45063499999999995,1.0,222
5,linkedin,0.46658700000000003,0.0,170
6,linkedin,0.479266,0.0,182
7,linkedin,0.589977,1.0,266
8,linkedin,0.5907089999999999,1.0,266
9,linkedin,0.5918939999999999,0.0,1606
10,linkedin,0.5919729999999999,0.0,1762
11,linkedin,0.592049,0.0,1841
12,linkedin,0.5921209999999999,0.0,1805
13,linkedin,0.5921939999999999,0.0,208
14,linkedin,0.5924399999999999,1.0,266
15,linkedin,0.5953379999999999,1.0,166
16,linkedin,0.595469,1.0,166
17,linkedin,0.5955649999999999,1.0,166
18,linkedin,0.5956589999999999,1.0,166
19,linkedin,0.5957539999999999,1.0,166
20,linkedin,0.595845,1.0,166
21,linkedin,0.5959189999999999,1.0,166
22,linkedin,0.595998,1.0,170
23,linkedin,0.596295,1.0,170
24,linkedin,0.6000349999999999,0.0,1610
25,linkedin,0.60029,0.0,1610
26,linkedin,0.602174,1.0,170
27,linkedin,0.657338,1.0,253
28,linkedin,0.6579949999999999,1.0,1446
29,linkedin,0.6664970000000001,0.0,170
30,linkedin,0.670741,0.0,170
31,linkedin,0.673845,1.0,239
32,linkedin,0.686118,0.0,1390
33,linkedin,0.6863009999999998,0.0,1386
34,linkedin,0.686375,0.0,1390
35,linkedin,0.686634,0.0,1386
36,linkedin,0.6868829999999999,0.0,2704
37,linkedin,0.686939,0.0,1390
38,linkedin,0.687306,0.0,1386
39,linkedin,0.6873849999999999,0.0,1386
40,linkedin,0.687613,1.0,166
41,linkedin,0.687708,1.0,166
42,linkedin,0.6877880000000001,1.0,170
43,linkedin,0.687975,1.0,166
44,linkedin,0.68808,1.0,166
45,linkedin,0.6881519999999999,1.0,166
46,linkedin,0.688223,1.0,170
47,linkedin,0.6884699999999999,0.0,1386
48,linkedin,0.6885410000000001,0.0,1386
49,linkedin,0.688699,0.0,1386
50,linkedin,0.68875,0.0,1386
51,linkedin,0.688955,0.0,1386
52,linkedin,0.689031,0.0,1648
53,linkedin,0.6893579999999999,0.0,1386
54,linkedin,0.6894359999999999,0.0,1648
55,linkedin,0.689629,0.0,1386
56,linkedin,0.6897059999999999,0.0,1648
57,linkedin,0.6901789999999999,1.0,166
58,linkedin,0.6902919999999999,1.0,166
59,linkedin,0.6903650000000001,1.0,166
60,linkedin,0.690436,1.0,170
61,linkedin,0.692504,1.0,166
62,linkedin,0.6926249999999998,1.0,166
63,linkedin,0.6927049999999999,1.0,166
64,linkedin,0.69278,1.0,166
65,linkedin,0.692855,1.0,166
66,linkedin,0.6929339999999999,1.0,170
67,linkedin,0.6975230000000001,1.0,142
68,linkedin,0.7291109999999998,0.0,359
69,linkedin,0.729357,0.0,359
70,linkedin,0.7295499999999999,0.0,359
71,linkedin,0.7312209999999999,1.0,170
72,linkedin,0.770729,1.0,249
73,linkedin,0.770913,1.0,1436
74,linkedin,0.777028,1.0,236
75,linkedin,0.7801499999999999,0.0,170
76,linkedin,0.781059,0.0,170
77,linkedin,0.781874,1.0,170
78,linkedin,0.7835529999999999,1.0,253
79,linkedin,0.7842289999999998,1.0,1559
80,linkedin,0.7865419999999999,0.0,170
81,linkedin,0.7894559999999999,1.0,146
82,linkedin,0.7895779999999999,1.0,146
83,linkedin,0.7896579999999997,1.0,146
84,linkedin,0.7897369999999999,1.0,150
85,linkedin,0.789989,1.0,146
86,linkedin,0.7900779999999998,1.0,146
87,linkedin,0.7901560000000001,1.0,146
88,linkedin,0.7902349999999998,1.0,150
89,linkedin,0.791728,0.0,170
90,linkedin,0.7919999999999998,0.0,170
91,linkedin,0.79413,0.0,170
92,linkedin,0.820784,1.0,236
93,linkedin,0.820921,1.0,1566
94,linkedin,0.8210219999999999,1.0,193
95,linkedin,0.8313599999999999,0.0,264
96,linkedin,0.8314689999999998,0.0,170
97,linkedin,0.8335329999999999,0.0,324
98,linkedin,0.8348829999999998,1.0,170
99,linkedin,0.9024589999999999,0.0,1486
