,Website,Time,Direction,Length
0,instructure,0.0,1.0,174
1,instructure,0.0003339999999999732,1.0,174
2,instructure,0.17510900000000001,1.0,216
3,instructure,0.18806300000000004,0.0,170
4,instructure,0.20145900000000005,0.0,1530
5,instructure,0.201625,0.0,1530
6,instructure,0.20173999999999997,0.0,1530
7,instructure,0.201982,0.0,1526
8,instructure,0.202083,0.0,1530
9,instructure,0.20228999999999997,0.0,1526
10,instructure,0.20236099999999996,0.0,1530
11,instructure,0.20259700000000003,0.0,1710
12,instructure,0.20266700000000004,0.0,1530
13,instructure,0.20305900000000005,0.0,1526
14,instructure,0.20313599999999998,0.0,1326
15,instructure,0.20320699999999997,0.0,201
16,instructure,0.203974,1.0,170
17,instructure,0.20550599999999997,1.0,166
18,instructure,0.20559899999999998,1.0,166
19,instructure,0.205669,1.0,166
20,instructure,0.20573999999999998,1.0,170
21,instructure,0.441714,1.0,267
22,instructure,0.450984,0.0,162
23,instructure,0.45758499999999996,1.0,257
24,instructure,0.459883,1.0,257
25,instructure,0.46410500000000005,0.0,225
26,instructure,0.46439,0.0,1580
27,instructure,0.46454100000000004,0.0,909
28,instructure,0.46468000000000004,0.0,201
29,instructure,0.464919,1.0,162
30,instructure,0.465134,1.0,158
31,instructure,0.46522800000000003,1.0,162
32,instructure,0.465795,1.0,158
33,instructure,0.465903,1.0,201
34,instructure,0.46690500000000007,0.0,1542
35,instructure,0.467466,0.0,1542
36,instructure,0.467787,0.0,625
37,instructure,0.469061,1.0,178
38,instructure,0.469195,1.0,182
39,instructure,0.46952699999999997,0.0,1542
40,instructure,0.469706,0.0,573
41,instructure,0.470852,1.0,182
42,instructure,0.48423199999999994,0.0,162
43,instructure,0.629284,1.0,239
44,instructure,0.641051,0.0,170
45,instructure,0.642118,0.0,1530
46,instructure,0.6423719999999999,0.0,1526
47,instructure,0.6424619999999999,0.0,1530
48,instructure,0.6427590000000001,0.0,1526
49,instructure,0.6428559999999999,0.0,1530
50,instructure,0.643181,0.0,1526
51,instructure,0.6432739999999999,0.0,1526
52,instructure,0.643365,0.0,1530
53,instructure,0.643672,0.0,1526
54,instructure,0.6437740000000001,0.0,1526
55,instructure,0.643875,0.0,1530
56,instructure,0.644164,0.0,1526
57,instructure,0.644269,0.0,1526
58,instructure,0.6443700000000001,0.0,1530
59,instructure,0.6446590000000001,0.0,1526
60,instructure,0.6447369999999999,0.0,1526
61,instructure,0.644809,0.0,1526
62,instructure,0.6448879999999999,0.0,1526
63,instructure,0.6449879999999999,0.0,1526
64,instructure,0.645038,0.0,252
65,instructure,0.6451500000000001,0.0,1526
66,instructure,0.645222,0.0,1526
67,instructure,0.6452709999999999,0.0,1526
68,instructure,0.645457,0.0,1526
69,instructure,0.645508,0.0,1526
70,instructure,0.6455569999999999,0.0,1526
71,instructure,0.6456280000000001,0.0,256
72,instructure,0.645829,0.0,1526
73,instructure,0.6459010000000001,0.0,1530
74,instructure,0.646112,0.0,1526
75,instructure,0.646163,0.0,1867
76,instructure,0.646234,0.0,1526
77,instructure,0.646285,0.0,1530
78,instructure,0.646468,0.0,1526
79,instructure,0.6465450000000001,0.0,1526
80,instructure,0.6466069999999999,0.0,314
81,instructure,0.64679,0.0,1526
82,instructure,0.6468400000000001,0.0,1526
83,instructure,0.6469200000000002,0.0,1526
84,instructure,0.6469910000000001,0.0,1526
85,instructure,0.6470639999999999,0.0,1526
86,instructure,0.647141,0.0,1526
87,instructure,0.647222,0.0,1530
88,instructure,0.647451,0.0,1526
89,instructure,0.6475230000000001,0.0,1526
90,instructure,0.647594,0.0,1526
91,instructure,0.647664,0.0,1526
92,instructure,0.647737,0.0,575
93,instructure,0.6480049999999999,1.0,166
94,instructure,0.648109,1.0,166
95,instructure,0.6481950000000001,1.0,166
96,instructure,0.6482669999999999,1.0,170
97,instructure,0.64849,1.0,166
98,instructure,0.648563,1.0,166
99,instructure,0.6486339999999999,1.0,166
