,Website,Time,Direction,Length
0,facebook,0.0,1.0,139
1,facebook,1.3529680000000002,1.0,456
2,facebook,1.353698,1.0,456
3,facebook,1.36525,0.0,217
4,facebook,1.367925,1.0,182
5,facebook,1.48271,0.0,182
6,facebook,1.485163,1.0,174
7,facebook,1.4964060000000003,0.0,1570
8,facebook,1.4965320000000002,0.0,1570
9,facebook,1.4969240000000004,0.0,1566
10,facebook,1.496994,0.0,1566
11,facebook,1.4970410000000003,0.0,1566
12,facebook,1.4971169999999998,0.0,1570
13,facebook,1.4974900000000004,0.0,1566
14,facebook,1.497541,0.0,1570
15,facebook,1.4982820000000001,0.0,1566
16,facebook,1.4983520000000001,0.0,1570
17,facebook,1.4985870000000001,1.0,178
18,facebook,1.4986959999999998,1.0,178
19,facebook,1.4987660000000003,1.0,178
20,facebook,1.498837,1.0,182
21,facebook,1.4993029999999998,0.0,1570
22,facebook,1.499413,0.0,1570
23,facebook,1.499526,0.0,1570
24,facebook,1.4997500000000001,0.0,1570
25,facebook,1.5012060000000003,0.0,1570
26,facebook,1.5013270000000003,0.0,1570
27,facebook,1.5014180000000001,0.0,1570
28,facebook,1.5018130000000003,0.0,1570
29,facebook,1.5020419999999999,1.0,178
30,facebook,1.5021150000000003,1.0,178
31,facebook,1.5021849999999999,1.0,178
32,facebook,1.502233,1.0,178
33,facebook,1.5022820000000001,1.0,182
34,facebook,1.5031690000000002,0.0,1570
35,facebook,1.5032900000000002,0.0,940
36,facebook,1.5055939999999999,1.0,178
37,facebook,1.5056850000000002,1.0,178
38,facebook,1.5057550000000002,1.0,182
39,facebook,1.506421,1.0,178
40,facebook,1.506507,1.0,178
41,facebook,1.5065780000000002,1.0,178
42,facebook,1.5066480000000002,1.0,182
43,facebook,1.5467990000000005,1.0,574
44,facebook,1.547561,1.0,847
45,facebook,1.5476560000000004,1.0,213
46,facebook,1.5577720000000004,0.0,288
47,facebook,1.5578570000000003,0.0,182
48,facebook,1.5582029999999998,0.0,217
49,facebook,1.5593090000000003,1.0,182
50,facebook,1.6025720000000003,1.0,365
51,facebook,1.6186900000000004,0.0,217
52,facebook,1.6201250000000003,1.0,182
53,facebook,1.6460080000000001,0.0,699
54,facebook,1.6473750000000003,1.0,182
55,facebook,1.7488139999999999,1.0,665
56,facebook,1.750508,1.0,703
57,facebook,1.76158,0.0,217
58,facebook,1.763157,1.0,182
59,facebook,1.8046419999999999,0.0,182
60,facebook,1.8524370000000001,0.0,689
61,facebook,1.854089,1.0,178
62,facebook,1.854346,1.0,182
63,facebook,1.9817230000000001,1.0,546
64,facebook,1.981887,1.0,694
65,facebook,1.9941720000000003,0.0,292
66,facebook,1.994837,0.0,217
67,facebook,1.9961240000000005,1.0,182
68,facebook,2.085985,0.0,713
69,facebook,2.087594,1.0,178
70,facebook,2.0876650000000003,1.0,182
71,facebook,2.08793,1.0,178
72,facebook,2.0880020000000004,1.0,182
73,facebook,2.6260850000000002,1.0,150
74,facebook,2.6265140000000002,1.0,150
75,facebook,2.631898,1.0,150
76,facebook,2.7119280000000003,1.0,156
77,facebook,2.713422,1.0,775
78,facebook,2.7135490000000004,1.0,909
79,facebook,2.714278,0.0,162
80,facebook,2.7154160000000003,0.0,162
81,facebook,2.753474,0.0,162
82,facebook,2.7537469999999997,0.0,584
83,facebook,2.756056,1.0,162
84,facebook,2.9644140000000005,1.0,142
