,Website,Time,Direction,Length
0,hulu,0.0,1.0,1606
1,hulu,8.00000000000245e-05,1.0,307
2,hulu,0.000259000000000037,1.0,1606
3,hulu,0.0003320000000000267,1.0,307
4,hulu,0.0006320000000000214,1.0,1606
5,hulu,0.0007240000000000024,1.0,307
6,hulu,0.0009160000000000279,1.0,1606
7,hulu,0.0009880000000000166,1.0,307
8,hulu,0.010625000000000023,0.0,162
9,hulu,0.09627700000000006,0.0,1215
10,hulu,0.096466,0.0,1215
11,hulu,0.09683200000000003,0.0,1211
12,hulu,0.09691299999999997,0.0,1211
13,hulu,0.09699800000000003,0.0,1606
14,hulu,0.09721200000000002,0.0,1211
15,hulu,0.09729400000000005,0.0,1211
16,hulu,0.097414,0.0,1606
17,hulu,0.097632,0.0,1606
18,hulu,0.09770400000000001,0.0,421
19,hulu,0.097804,0.0,1606
20,hulu,0.09820899999999999,1.0,158
21,hulu,0.09832600000000002,1.0,162
22,hulu,0.09854299999999999,0.0,1606
23,hulu,0.09861700000000007,0.0,421
24,hulu,0.09868900000000003,0.0,1606
25,hulu,0.09890600000000005,1.0,158
26,hulu,0.09898500000000005,1.0,162
27,hulu,0.09919400000000006,1.0,158
28,hulu,0.09928900000000002,1.0,162
29,hulu,0.099545,0.0,1606
30,hulu,0.09961900000000001,0.0,421
31,hulu,0.09971900000000006,0.0,1606
32,hulu,0.10021600000000003,0.0,684
33,hulu,0.10029500000000002,0.0,1211
34,hulu,0.10040900000000003,0.0,1606
35,hulu,0.10048300000000004,0.0,1606
36,hulu,0.100555,0.0,1606
37,hulu,0.10060600000000003,0.0,1606
38,hulu,0.10066000000000003,0.0,1544
39,hulu,0.100806,0.0,1211
40,hulu,0.10087800000000002,0.0,1606
41,hulu,0.10094900000000001,0.0,1606
42,hulu,0.10099800000000003,0.0,1606
43,hulu,0.10104800000000003,0.0,1606
44,hulu,0.10111900000000001,0.0,1544
45,hulu,0.10146100000000002,0.0,1211
46,hulu,0.101549,0.0,1606
47,hulu,0.10161999999999999,0.0,1606
48,hulu,0.10169100000000003,0.0,1606
49,hulu,0.10177100000000006,0.0,1606
50,hulu,0.10182300000000005,0.0,1544
51,hulu,0.10203400000000001,1.0,158
52,hulu,0.10212100000000002,1.0,158
53,hulu,0.10217599999999999,1.0,158
54,hulu,0.10224700000000003,1.0,158
55,hulu,0.10231900000000005,1.0,162
56,hulu,0.10253500000000004,1.0,158
57,hulu,0.10261000000000003,1.0,158
58,hulu,0.10268100000000002,1.0,158
59,hulu,0.10275200000000001,1.0,158
60,hulu,0.10282400000000003,1.0,162
61,hulu,0.10302700000000004,1.0,158
62,hulu,0.10310000000000002,1.0,158
63,hulu,0.10317199999999999,1.0,158
64,hulu,0.10324300000000003,1.0,158
65,hulu,0.10331500000000005,1.0,162
66,hulu,0.10356300000000002,1.0,158
67,hulu,0.10365400000000002,1.0,158
68,hulu,0.10370400000000002,1.0,158
69,hulu,0.103775,1.0,158
70,hulu,0.10384600000000005,1.0,158
71,hulu,0.10391700000000004,1.0,162
72,hulu,0.10411900000000002,1.0,158
73,hulu,0.10417300000000002,1.0,158
74,hulu,0.10424400000000006,1.0,158
75,hulu,0.10431500000000005,1.0,158
76,hulu,0.10438599999999998,1.0,158
77,hulu,0.10445700000000002,1.0,162
78,hulu,0.104655,1.0,158
79,hulu,0.10472799999999999,1.0,158
80,hulu,0.10477799999999998,1.0,158
81,hulu,0.104829,1.0,158
82,hulu,0.10490000000000005,1.0,158
83,hulu,0.10497100000000004,1.0,162
84,hulu,0.10520499999999999,1.0,158
85,hulu,0.10527700000000001,1.0,158
86,hulu,0.10534800000000005,1.0,162
87,hulu,0.10550300000000001,1.0,158
88,hulu,0.10557500000000003,1.0,158
89,hulu,0.10564600000000002,1.0,162
90,hulu,0.334052,1.0,614
91,hulu,0.3343400000000001,1.0,614
92,hulu,0.3346530000000001,1.0,614
93,hulu,0.3446030000000001,0.0,182
94,hulu,0.400116,1.0,150
95,hulu,0.408856,0.0,162
96,hulu,0.42933600000000005,0.0,1610
97,hulu,0.429493,0.0,981
98,hulu,0.42961000000000005,0.0,713
99,hulu,0.43110899999999996,1.0,178
