,Website,Time,Direction,Length
0,dropbox,0.0,1.0,241
1,dropbox,0.000212000000000101,1.0,241
2,dropbox,0.0004510000000000902,1.0,241
3,dropbox,0.05276499999999995,0.0,182
4,dropbox,0.167725,0.0,1606
5,dropbox,0.167864,0.0,1353
6,dropbox,0.16795800000000005,0.0,245
7,dropbox,0.1683190000000001,0.0,1606
8,dropbox,0.16842099999999993,0.0,1353
9,dropbox,0.168539,0.0,245
10,dropbox,0.16875200000000012,0.0,1606
11,dropbox,0.16887600000000003,0.0,1353
12,dropbox,0.16897700000000004,0.0,245
13,dropbox,0.1722260000000001,1.0,178
14,dropbox,0.17235599999999995,1.0,178
15,dropbox,0.17246299999999992,1.0,182
16,dropbox,0.17282000000000008,1.0,182
17,dropbox,0.1756740000000001,1.0,178
18,dropbox,0.17585499999999987,1.0,178
19,dropbox,0.175964,1.0,178
20,dropbox,0.17604599999999992,1.0,178
21,dropbox,0.176134,1.0,182
22,dropbox,0.17645,0.0,245
23,dropbox,0.17664199999999997,0.0,245
24,dropbox,0.17682600000000015,1.0,182
25,dropbox,0.1770989999999999,0.0,245
26,dropbox,0.17731200000000014,0.0,1610
27,dropbox,0.17750399999999988,0.0,1606
28,dropbox,0.17757599999999996,0.0,811
29,dropbox,0.17779699999999998,0.0,1606
30,dropbox,0.1778709999999999,0.0,811
31,dropbox,0.17893099999999995,1.0,194
32,dropbox,0.17973400000000006,1.0,182
33,dropbox,0.22011000000000003,1.0,563
34,dropbox,0.22061299999999995,1.0,913
35,dropbox,0.22096000000000005,1.0,913
36,dropbox,0.23089000000000004,0.0,178
37,dropbox,0.23099899999999995,0.0,224
38,dropbox,0.23263999999999996,1.0,182
39,dropbox,0.25531000000000015,1.0,313
40,dropbox,0.2658610000000001,0.0,182
41,dropbox,0.2711809999999999,0.0,182
42,dropbox,0.29404200000000014,1.0,251
43,dropbox,0.296573,1.0,260
44,dropbox,0.29964599999999986,1.0,313
45,dropbox,0.308797,0.0,170
46,dropbox,0.31039400000000006,0.0,182
47,dropbox,0.31461300000000003,0.0,1606
48,dropbox,0.3147010000000001,0.0,636
49,dropbox,0.3158049999999999,0.0,858
50,dropbox,0.3161879999999999,0.0,1006
51,dropbox,0.31642800000000015,1.0,182
52,dropbox,0.31668799999999986,1.0,182
53,dropbox,0.316916,1.0,178
54,dropbox,0.3169899999999999,1.0,166
55,dropbox,0.31706100000000004,1.0,170
56,dropbox,0.31785300000000016,1.0,166
57,dropbox,0.317982,1.0,170
58,dropbox,0.318222,1.0,170
59,dropbox,0.3221289999999999,0.0,477
60,dropbox,0.32562500000000005,1.0,182
61,dropbox,0.3882969999999999,0.0,478
62,dropbox,0.389381,1.0,182
63,dropbox,0.38961599999999996,1.0,182
64,dropbox,0.389815,1.0,182
65,dropbox,0.408644,0.0,453
66,dropbox,0.40871800000000014,0.0,505
67,dropbox,0.40876599999999996,0.0,290
68,dropbox,0.409249,0.0,452
69,dropbox,0.409327,0.0,1777
70,dropbox,0.40937500000000004,0.0,236
71,dropbox,0.41444100000000006,1.0,178
72,dropbox,0.41452,1.0,178
73,dropbox,0.41459099999999993,1.0,178
74,dropbox,0.4146399999999999,1.0,178
75,dropbox,0.41468799999999995,1.0,178
76,dropbox,0.414736,1.0,178
77,dropbox,0.41478499999999996,1.0,178
78,dropbox,0.414833,1.0,178
79,dropbox,0.4148830000000001,1.0,182
80,dropbox,0.4151039999999999,1.0,178
81,dropbox,0.41517800000000005,1.0,178
82,dropbox,0.4152260000000001,1.0,178
83,dropbox,0.41527500000000006,1.0,178
84,dropbox,0.415324,1.0,178
85,dropbox,0.4153739999999999,1.0,178
86,dropbox,0.4154229999999999,1.0,178
87,dropbox,0.41547,1.0,178
88,dropbox,0.4155200000000001,1.0,182
89,dropbox,0.415724,1.0,178
90,dropbox,0.41580799999999996,1.0,178
91,dropbox,0.415859,1.0,178
92,dropbox,0.4159090000000001,1.0,178
93,dropbox,0.4159569999999999,1.0,178
94,dropbox,0.416007,1.0,178
95,dropbox,0.416056,1.0,178
96,dropbox,0.41610499999999995,1.0,178
97,dropbox,0.41615599999999997,1.0,182
98,dropbox,0.445125,0.0,1211
99,dropbox,0.44521900000000003,0.0,722
