frame.number,_ws.col.Time,_ws.col.Source,_ws.col.Destination,_ws.col.Protocol,frame.len,_ws.col.Info
"1","0.000000000","192.168.1.104","255.255.255.255","UDP","217","49154 → 6666 Len=175"
"2","0.104061217","192.168.1.102","224.0.0.251","MDNS","183","Standard query response 0x0000 SRV, cache flush 0 0 8009 2c3f16b2-da5c-4b6f-d6cf-bfba61c12490.local"
"3","0.543246013","192.168.1.118","192.168.1.102","TCP","176","35355 → 8009 [PSH, ACK] Seq=1 Ack=1 Win=364 Len=110 TSval=19170981 TSecr=4489645 [TCP segment of a reassembled PDU]"
"4","0.550317936","192.168.1.102","192.168.1.118","TCP","176","8009 → 35355 [PSH, ACK] Seq=1 Ack=111 Win=287 Len=110 TSval=4490145 TSecr=19170981 [TCP segment of a reassembled PDU]"
"5","0.550426977","192.168.1.118","192.168.1.102","TCP","66","35355 → 8009 [ACK] Seq=111 Ack=111 Win=364 Len=0 TSval=19170988 TSecr=4490145"
"6","1.432439784","Cisco-Li_5b:1c:ce","IntelCor_b7:52:73","ARP","42","Who has 192.168.1.118? Tell 192.168.1.1"
"7","1.432496711","IntelCor_b7:52:73","Cisco-Li_5b:1c:ce","ARP","42","192.168.1.118 is at dc:fb:48:b7:52:73"
"8","3.070969555","192.168.1.104","255.255.255.255","UDP","217","49154 → 6666 Len=175"
"9","5.552211833","192.168.1.118","192.168.1.102","TCP","176","35355 → 8009 [PSH, ACK] Seq=111 Ack=111 Win=364 Len=110 TSval=19175990 TSecr=4490145 [TCP segment of a reassembled PDU]"
"10","5.557690399","192.168.1.102","192.168.1.118","TCP","176","8009 → 35355 [PSH, ACK] Seq=111 Ack=221 Win=287 Len=110 TSval=4490646 TSecr=19175990 [TCP segment of a reassembled PDU]"
"11","5.557794653","192.168.1.118","192.168.1.102","TCP","66","35355 → 8009 [ACK] Seq=221 Ack=221 Win=364 Len=0 TSval=19175996 TSecr=4490646"
"12","5.841764304","192.168.1.100","224.0.0.251","MDNS","292","Standard query response 0x0000 SRV, cache flush 0 0 8770 cjqg.local TXT, cache flush PTR _airdrop._tcp.local PTR 6f173fd81b1c._airdrop._tcp.local AAAA, cache flush fe80::c65:98ef:d456:4a34 A, cache flush 192.168.1.100 NSEC, cache flush cjqg.local NSEC, cache flush 6f173fd81b1c._airdrop._tcp.local OPT"
"13","6.043649370","192.168.1.104","255.255.255.255","UDP","217","49154 → 6666 Len=175"
"14","6.864403020","192.168.1.100","224.0.0.251","MDNS","292","Standard query response 0x0000 SRV, cache flush 0 0 8770 cjqg.local TXT, cache flush PTR _airdrop._tcp.local PTR 6f173fd81b1c._airdrop._tcp.local AAAA, cache flush fe80::c65:98ef:d456:4a34 A, cache flush 192.168.1.100 NSEC, cache flush cjqg.local NSEC, cache flush 6f173fd81b1c._airdrop._tcp.local OPT"
"15","7.582686759","192.168.1.100","224.0.0.251","MDNS","175","Standard query 0x0000 ANY cjqg._smb._tcp.local, "QM" question ANY cjqg._companion-link._tcp.local, "QM" question SRV 0 0 445 cjqg.local SRV 0 0 53222 cjqg.local OPT"
"16","7.823277904","192.168.1.118","209.18.47.62","DNS","89","Standard query 0xb944 A connectivitycheck.gstatic.com"
"17","7.823433297","192.168.1.118","209.18.47.62","DNS","89","Standard query 0xa9a8 AAAA connectivitycheck.gstatic.com"
"18","7.842894516","209.18.47.62","192.168.1.118","DNS","105","Standard query response 0xb944 A connectivitycheck.gstatic.com A 172.217.10.35"
"19","7.848621579","209.18.47.62","192.168.1.118","DNS","117","Standard query response 0xa9a8 AAAA connectivitycheck.gstatic.com AAAA 2607:f8b0:4006:803::2003"
"20","7.849228463","192.168.1.118","172.217.10.35","TCP","74","33613 → 443 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=19178287 TSecr=0 WS=128"
"21","7.868678381","172.217.10.35","192.168.1.118","TCP","74","443 → 33613 [SYN, ACK] Seq=0 Ack=1 Win=60192 Len=0 MSS=1380 SACK_PERM=1 TSval=126268203 TSecr=19178287 WS=256"
"22","7.868799598","192.168.1.118","172.217.10.35","TCP","66","33613 → 443 [ACK] Seq=1 Ack=1 Win=29312 Len=0 TSval=19178307 TSecr=126268203"
"23","7.869446408","192.168.1.118","172.217.10.35","TLSv1","254","Client Hello"
"24","7.886320873","192.168.1.100","224.0.0.251","MDNS","519","Standard query response 0x0000 TXT, cache flush PTR cjqg._smb._tcp.local TXT SRV, cache flush 0 0 445 cjqg.local TXT, cache flush PTR _companion-link._tcp.local PTR cjqg._companion-link._tcp.local SRV, cache flush 0 0 53222 cjqg.local PTR _airdrop._tcp.local NSEC, cache flush cjqg._smb._tcp.local NSEC, cache flush cjqg._companion-link._tcp.local OPT"
"25","7.899667003","172.217.10.35","192.168.1.118","TCP","66","443 → 33613 [ACK] Seq=1 Ack=189 Win=61440 Len=0 TSval=126268233 TSecr=19178307"
"26","7.904340191","172.217.10.35","192.168.1.118","TLSv1.2","1484","Server Hello"
"27","7.904433120","192.168.1.118","172.217.10.35","TCP","66","33613 → 443 [ACK] Seq=189 Ack=1419 Win=32128 Len=0 TSval=19178342 TSecr=126268239"
"28","7.905826443","172.217.10.35","192.168.1.118","TLSv1.2","1277","Certificate, Server Key Exchange, Server Hello Done"
"29","7.905891708","192.168.1.118","172.217.10.35","TCP","66","33613 → 443 [ACK] Seq=189 Ack=2630 Win=34944 Len=0 TSval=19178344 TSecr=126268239"
"30","7.908799197","192.168.1.118","172.217.10.35","TLSv1.2","151","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"31","7.928329343","172.217.10.35","192.168.1.118","TLSv1.2","109","Change Cipher Spec, Encrypted Handshake Message"
"32","7.928823111","192.168.1.118","172.217.10.35","TLSv1.2","283","Application Data"
"33","7.947894291","172.217.10.35","192.168.1.118","TLSv1.2","427","Application Data"
"34","7.948583340","192.168.1.118","172.217.10.35","TLSv1.2","89","Encrypted Alert"
"35","7.948753183","192.168.1.118","172.217.10.35","TCP","66","33613 → 443 [FIN, ACK] Seq=514 Ack=3034 Win=37760 Len=0 TSval=19178387 TSecr=126268284"
"36","7.957244718","IntelCor_b7:52:73","Broadcast","ARP","60","Who has 192.168.1.1? Tell 192.168.1.118"
"37","7.961957245","172.217.10.35","192.168.1.118","TCP","66","443 → 33613 [FIN, ACK] Seq=3034 Ack=515 Win=62464 Len=0 TSval=126268294 TSecr=19178386"
"38","7.962054811","192.168.1.118","172.217.10.35","TCP","66","33613 → 443 [ACK] Seq=515 Ack=3035 Win=37760 Len=0 TSval=19178400 TSecr=126268294"
"39","7.971627671","Cisco-Li_5b:1c:ce","IntelCor_b7:52:73","ARP","42","192.168.1.1 is at 58:6d:8f:5b:1c:ce"
