frame.number,_ws.col.Time,_ws.col.Source,_ws.col.Destination,_ws.col.Protocol,frame.len,_ws.col.Info
"1","0.000000000","23.32.171.112","192.168.1.118","SSL","2962","Continuation Data"
"2","0.003341804","23.32.171.112","192.168.1.118","SSL","2962","Continuation Data"
"3","0.003425395","192.168.1.118","23.32.171.112","TCP","66","33809 → 443 [ACK] Seq=1 Ack=2897 Win=1229 Len=0 TSval=19210039 TSecr=1712459651"
"4","0.003467084","23.32.171.112","192.168.1.118","SSL","2962","Continuation Data"
"5","0.006885091","192.168.1.118","23.32.171.112","TCP","66","33815 → 443 [ACK] Seq=1 Ack=5793 Win=1355 Len=0 TSval=19210042 TSecr=1712459656"
"6","0.007850875","23.32.171.112","192.168.1.118","SSL","2962","Continuation Data"
"7","0.007934615","192.168.1.118","23.32.171.112","TCP","66","33815 → 443 [ACK] Seq=1 Ack=8689 Win=1400 Len=0 TSval=19210043 TSecr=1712459656"
"8","0.007973492","23.32.171.112","192.168.1.118","SSL","2962","Continuation Data"
"9","0.007996517","192.168.1.118","23.32.171.112","TCP","66","33809 → 443 [ACK] Seq=1 Ack=5793 Win=1275 Len=0 TSval=19210043 TSecr=1712459654"
"10","0.008050919","23.32.171.112","192.168.1.118","SSL","2962","Continuation Data"
"11","0.009943911","192.168.1.118","23.32.171.112","TCP","66","33815 → 443 [ACK] Seq=1 Ack=11585 Win=1424 Len=0 TSval=19210045 TSecr=1712459658"
"12","0.018948438","23.32.171.112","192.168.1.118","SSL","2962","Continuation Data"
"13","0.019015203","23.32.171.112","192.168.1.118","SSL","2962","Continuation Data"
"14","0.019055117","192.168.1.118","23.32.171.112","TCP","66","33809 → 443 [ACK] Seq=1 Ack=8689 Win=1320 Len=0 TSval=19210054 TSecr=1712459658"
"15","0.019184646","23.32.171.112","192.168.1.118","SSL","2962","Continuation Data"
"16","0.019247136","23.32.171.112","192.168.1.118","SSL","2962","Continuation Data"
"17","0.019271612","23.32.171.112","192.168.1.118","TCP","5858","[TCP segment of a reassembled PDU]"
"18","0.019308676","192.168.1.118","23.32.171.112","TCP","66","33810 → 443 [ACK] Seq=1 Ack=5793 Win=1184 Len=0 TSval=19210055 TSecr=1712459665"
"19","0.019323276","23.32.171.112","192.168.1.118","SSL","2962","Continuation Data"
"20","0.019343852","192.168.1.118","23.32.171.112","TCP","66","33809 → 443 [ACK] Seq=1 Ack=11585 Win=1365 Len=0 TSval=19210055 TSecr=1712459661"
"21","0.019356790","23.32.171.112","192.168.1.118","SSL","2962","Continuation Data"
"22","0.020660198","192.168.1.118","23.32.171.112","TCP","66","33815 → 443 [ACK] Seq=1 Ack=23169 Win=1334 Len=0 TSval=19210056 TSecr=1712459660"
"23","0.024266112","23.32.171.112","192.168.1.118","SSL","2962","Continuation Data"
