frame.number,_ws.col.Time,_ws.col.Source,_ws.col.Destination,_ws.col.Protocol,frame.len,_ws.col.Info
"1","0.000000000","104.16.14.221","192.168.1.118","SSL","1953","Continuation Data"
"2","0.000053700","192.168.1.118","104.16.14.221","TCP","54","35768 → 443 [ACK] Seq=1 Ack=1900 Win=479 Len=0"
"3","0.002004000","192.168.1.118","104.16.14.221","TLSv1.2","180","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"4","0.020741988","104.16.14.221","192.168.1.118","TCP","54","443 → 35768 [ACK] Seq=1900 Ack=127 Win=66 Len=0"
"5","0.023864975","104.16.14.221","192.168.1.118","TLSv1.2","105","Change Cipher Spec, Encrypted Handshake Message"
"6","0.024447713","192.168.1.118","104.16.14.221","TLSv1.2","417","Application Data"
"7","0.038141063","104.16.14.221","192.168.1.118","TCP","54","443 → 35768 [ACK] Seq=1951 Ack=490 Win=67 Len=0"
"8","0.048635413","104.16.14.221","192.168.1.118","TLSv1.2","1452","Application Data"
"9","0.049573538","104.16.14.221","192.168.1.118","TLSv1.2","346","Application Data"
"10","0.049632713","104.16.14.221","192.168.1.118","TLSv1.2","88","Application Data"
"11","0.049769350","192.168.1.118","104.16.14.221","TCP","54","35768 → 443 [ACK] Seq=490 Ack=3675 Win=490 Len=0"
"12","0.291390413","192.168.1.104","255.255.255.255","UDP","217","49154 → 6666 Len=175"
"13","0.293631688","192.168.1.119","224.0.0.251","MDNS","176","Standard query 0x0000 PTR _homekit._tcp.local, "QM" question PTR _companion-link._tcp.local, "QM" question PTR _airplay._tcp.local, "QM" question PTR _raop._tcp.local, "QM" question PTR cjqg._companion-link._tcp.local OPT"
"14","0.495334700","192.168.1.103","224.0.0.251","MDNS","112","Standard query 0x0000 PTR _sleep-proxy._udp.local, "QM" question OPT"
"15","1.314104388","192.168.1.118","192.168.1.102","TCP","176","44768 → 8009 [PSH, ACK] Seq=1 Ack=1 Win=501 Len=110 TSval=2257181502 TSecr=5170353 [TCP segment of a reassembled PDU]"
"16","1.321937425","192.168.1.102","192.168.1.118","TCP","176","8009 → 44768 [PSH, ACK] Seq=1 Ack=111 Win=294 Len=110 TSval=5170854 TSecr=2257181502 [TCP segment of a reassembled PDU]"
"17","1.322121400","192.168.1.118","192.168.1.102","TCP","66","44768 → 8009 [ACK] Seq=111 Ack=111 Win=501 Len=0 TSval=2257181510 TSecr=5170854"
"18","3.260454675","192.168.1.104","255.255.255.255","UDP","217","49154 → 6666 Len=175"
"19","3.262512400","192.168.1.119","224.0.0.251","MDNS","176","Standard query 0x0000 PTR _homekit._tcp.local, "QM" question PTR _companion-link._tcp.local, "QM" question PTR _airplay._tcp.local, "QM" question PTR _raop._tcp.local, "QM" question PTR cjqg._companion-link._tcp.local OPT"
"20","3.466205875","192.168.1.103","224.0.0.251","MDNS","112","Standard query 0x0000 PTR _sleep-proxy._udp.local, "QM" question OPT"
"21","4.899910238","192.168.1.101","224.0.0.251","MDNS","337","Standard query 0x0000 PTR _googlecast._tcp.local, "QM" question PTR _uscan._tcp.local, "QM" question PTR _ptp._tcp.local, "QM" question PTR _ippusb._tcp.local, "QM" question PTR _scanner._tcp.local, "QM" question PTR _ipp._tcp.local, "QM" question PTR _pdl-datastream._tcp.local, "QM" question PTR _uscans._tcp.local, "QM" question PTR _ipps._tcp.local, "QM" question PTR _printer._tcp.local, "QM" question PTR _airport._tcp.local, "QM" question PTR _rdlink._tcp.local, "QM" question TXT Google-Home-Mini-2c3f16b2da5c4b6fd6cfbfba61c12490._googlecast._tcp.local, "QM" question PTR Google-Home-Mini-2c3f16b2da5c4b6fd6cfbfba61c12490._googlecast._tcp.local OPT"
"22","5.007866025","192.168.1.102","224.0.0.251","MDNS","183","Standard query response 0x0000 SRV, cache flush 0 0 8009 2c3f16b2-da5c-4b6f-d6cf-bfba61c12490.local"
"23","6.230015200","192.168.1.104","255.255.255.255","UDP","217","49154 → 6666 Len=175"
"24","6.327211200","192.168.1.118","192.168.1.102","TCP","176","44768 → 8009 [PSH, ACK] Seq=111 Ack=111 Win=501 Len=110 TSval=2257186515 TSecr=5170854 [TCP segment of a reassembled PDU]"
"25","6.335098263","192.168.1.102","192.168.1.118","TCP","176","8009 → 44768 [PSH, ACK] Seq=111 Ack=221 Win=294 Len=110 TSval=5171355 TSecr=2257186515 [TCP segment of a reassembled PDU]"
"26","6.335282025","192.168.1.118","192.168.1.102","TCP","66","44768 → 8009 [ACK] Seq=221 Ack=221 Win=501 Len=0 TSval=2257186523 TSecr=5171355"
"27","9.305882713","192.168.1.104","255.255.255.255","UDP","217","49154 → 6666 Len=175"
