frame.number,_ws.col.Time,_ws.col.Source,_ws.col.Destination,_ws.col.Protocol,frame.len,_ws.col.Info
"1","0.000000000","192.168.1.118","162.125.4.1","TCP","66","38508 → 443 [ACK] Seq=1 Ack=1 Win=367 Len=0 TSval=930195057 TSecr=807424382"
"2","0.000347862","162.125.4.1","192.168.1.118","TLSv1.2","1514","Application Data, Application Data, Application Data, Application Data"
"3","0.021201737","162.125.4.1","192.168.1.118","TLSv1.2","1514","Application Data, Application Data, Application Data"
"4","0.022435625","162.125.4.1","192.168.1.118","TLSv1.2","2962","Application Data, Application Data, Application Data, Application Data, Application Data"
"5","0.023178812","162.125.4.1","192.168.1.118","TLSv1.2","2962","Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
"6","0.026665412","162.125.4.1","192.168.1.118","TLSv1.2","549","Application Data, Application Data, Application Data, Application Data, Application Data"
"7","0.027271500","192.168.1.118","209.18.47.62","DNS","81","Standard query 0x31ee A cfl.dropboxstatic.com"
"8","0.028064212","192.168.1.118","162.125.4.1","TCP","66","38508 → 443 [ACK] Seq=1 Ack=9172 Win=501 Len=0 TSval=930195086 TSecr=807424502"
"9","0.034189350","192.168.1.118","209.18.47.62","DNS","71","Standard query 0xfd2a A dropbox.com"
"10","0.043272812","209.18.47.62","192.168.1.118","DNS","167","Standard query response 0x31ee A cfl.dropboxstatic.com CNAME cfl.dropboxstatic.com.cdn.cloudflare.net A 104.16.99.29 A 104.16.100.29"
"11","0.043979662","192.168.1.118","209.18.47.62","DNS","81","Standard query 0x598d AAAA cfl.dropboxstatic.com"
"12","0.071037300","209.18.47.62","192.168.1.118","DNS","191","Standard query response 0x598d AAAA cfl.dropboxstatic.com CNAME cfl.dropboxstatic.com.cdn.cloudflare.net AAAA 2606:4700::6810:641d AAAA 2606:4700::6810:631d"
"13","0.072836025","209.18.47.62","192.168.1.118","DNS","87","Standard query response 0xfd2a A dropbox.com A 162.125.248.1"
"14","0.074331825","192.168.1.118","209.18.47.62","DNS","71","Standard query 0x4503 AAAA dropbox.com"
"15","0.096777250","209.18.47.62","192.168.1.118","DNS","99","Standard query response 0x4503 AAAA dropbox.com AAAA 2620:100:6040:1::a27d:f801"
"16","0.491253612","192.168.1.118","104.16.99.29","TCP","74","43628 → 443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=4126422301 TSecr=0 WS=128"
"17","0.491377075","192.168.1.118","162.125.248.1","TCP","74","33164 → 443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2159384089 TSecr=0 WS=128"
"18","0.510867500","104.16.99.29","192.168.1.118","TCP","66","443 → 43628 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM=1 WS=1024"
"19","0.510958700","192.168.1.118","104.16.99.29","TCP","54","43628 → 443 [ACK] Seq=1 Ack=1 Win=64256 Len=0"
"20","0.533450212","162.125.248.1","192.168.1.118","TCP","74","443 → 33164 [SYN, ACK] Seq=0 Ack=1 Win=28560 Len=0 MSS=1440 SACK_PERM=1 TSval=2860446627 TSecr=2159384089 WS=512"
"21","0.533558700","192.168.1.118","162.125.248.1","TCP","66","33164 → 443 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2159384131 TSecr=2860446627"
"22","0.606428825","192.168.1.118","104.16.99.29","TLSv1","571","Client Hello"
"23","0.629455800","104.16.99.29","192.168.1.118","TCP","54","443 → 43628 [ACK] Seq=1 Ack=518 Win=67584 Len=0"
"24","0.634906175","104.16.99.29","192.168.1.118","TLSv1.2","1514","Server Hello"
"25","0.634971850","192.168.1.118","104.16.99.29","TCP","54","43628 → 443 [ACK] Seq=518 Ack=1461 Win=63104 Len=0"
"26","0.641135537","104.16.99.29","192.168.1.118","TLSv1.2","2060","Certificate, Server Key Exchange, Server Hello Done"
"27","0.641202712","192.168.1.118","104.16.99.29","TCP","54","43628 → 443 [ACK] Seq=518 Ack=3467 Win=61184 Len=0"
"28","0.666075925","192.168.1.118","162.125.248.1","TLSv1","583","Client Hello"
"29","0.670711600","192.168.1.118","104.16.99.29","TLSv1.2","180","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"30","0.687794100","162.125.248.1","192.168.1.118","TCP","66","443 → 33164 [ACK] Seq=1 Ack=518 Win=29696 Len=0 TSval=2860446792 TSecr=2159384264"
"31","0.690396162","162.125.248.1","192.168.1.118","TLSv1.2","1514","Server Hello"
"32","0.690459087","192.168.1.118","162.125.248.1","TCP","66","33164 → 443 [ACK] Seq=518 Ack=1449 Win=63104 Len=0 TSval=2159384288 TSecr=2860446794"
"33","0.691861725","162.125.248.1","192.168.1.118","TLSv1.2","2279","Certificate, Server Key Exchange, Server Hello Done"
"34","0.691928575","192.168.1.118","162.125.248.1","TCP","66","33164 → 443 [ACK] Seq=518 Ack=3662 Win=60928 Len=0 TSval=2159384289 TSecr=2860446794"
"35","0.698731900","104.16.99.29","192.168.1.118","TCP","54","443 → 43628 [ACK] Seq=3467 Ack=644 Win=67584 Len=0"
"36","0.700558637","104.16.99.29","192.168.1.118","TLSv1.2","105","Change Cipher Spec, Encrypted Handshake Message"
"37","0.703843462","192.168.1.118","162.125.248.1","TLSv1.2","192","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"38","0.704717612","192.168.1.118","104.16.99.29","TLSv1.2","234","Application Data"
"39","0.733127337","162.125.248.1","192.168.1.118","TLSv1.2","117","Change Cipher Spec, Encrypted Handshake Message"
"40","0.733918250","104.16.99.29","192.168.1.118","TCP","54","443 → 43628 [ACK] Seq=3518 Ack=824 Win=68608 Len=0"
