frame.number,_ws.col.Time,_ws.col.Source,_ws.col.Destination,_ws.col.Protocol,frame.len,_ws.col.Info
"1","0.000000000","35.186.208.48","192.168.1.118","TLSv1.2","117","Change Cipher Spec, Encrypted Handshake Message"
"2","0.000095828","192.168.1.118","35.186.208.48","TCP","66","34058 → 443 [ACK] Seq=1 Ack=52 Win=324 Len=0 TSval=16397037 TSecr=3449701904"
"3","0.001407587","23.193.185.199","192.168.1.118","TLSv1.2","117","Change Cipher Spec, Encrypted Handshake Message"
"4","0.002179614","23.193.185.199","192.168.1.118","TLSv1.2","117","Change Cipher Spec, Encrypted Handshake Message"
"5","0.002242053","192.168.1.118","23.193.185.199","TCP","66","42722 → 443 [ACK] Seq=1 Ack=52 Win=285 Len=0 TSval=16397040 TSecr=3753736166"
"6","0.011237168","35.186.208.48","192.168.1.118","TLSv1.2","117","Change Cipher Spec, Encrypted Handshake Message"
"7","0.019309326","23.193.185.199","192.168.1.118","TLSv1.2","117","Change Cipher Spec, Encrypted Handshake Message"
"8","0.019391266","35.186.208.48","192.168.1.118","TLSv1.2","1484","Application Data"
"9","0.019424180","35.186.208.48","192.168.1.118","TLSv1.2","1484","Application Data"
"10","0.019462743","192.168.1.118","35.186.208.48","TCP","66","34056 → 443 [ACK] Seq=1 Ack=2837 Win=369 Len=0 TSval=16397057 TSecr=590925131"
"11","0.019519958","35.186.208.48","192.168.1.118","TLSv1.2","2902","Application Data, Application Data"
"12","0.019542021","192.168.1.118","35.186.208.48","TCP","66","34056 → 443 [ACK] Seq=1 Ack=5673 Win=413 Len=0 TSval=16397057 TSecr=590925131"
"13","0.019602961","35.186.208.48","192.168.1.118","TLSv1.2","1484","Application Data"
"14","0.019637550","35.186.208.48","192.168.1.118","TLSv1.2","2902","Application Data, Application Data"
"15","0.019660113","192.168.1.118","35.186.208.48","TCP","66","34055 → 443 [ACK] Seq=1 Ack=4255 Win=391 Len=0 TSval=16397057 TSecr=3698336610"
"16","0.019688064","35.186.208.48","192.168.1.118","TLSv1.2","2902","Application Data, Application Data"
"17","0.019709265","192.168.1.118","35.186.208.48","TCP","66","34055 → 443 [ACK] Seq=1 Ack=7091 Win=435 Len=0 TSval=16397057 TSecr=3698336610"
"18","0.019729303","35.186.208.48","192.168.1.118","TLSv1.2","1484","Application Data"
"19","0.019770667","35.186.208.48","192.168.1.118","TLSv1.2","2902","Application Data, Application Data"
"20","0.019790792","192.168.1.118","35.186.208.48","TCP","66","34057 → 443 [ACK] Seq=1 Ack=4255 Win=391 Len=0 TSval=16397057 TSecr=3092412952"
"21","0.019827419","35.186.208.48","192.168.1.118","TLSv1.2","2902","Application Data, Application Data"
"22","0.019849220","192.168.1.118","35.186.208.48","TCP","66","34057 → 443 [ACK] Seq=1 Ack=7091 Win=435 Len=0 TSval=16397057 TSecr=3092412952"
"23","0.019861570","35.186.208.48","192.168.1.118","TLSv1.2","1484","Application Data"
"24","0.022892401","35.186.208.48","192.168.1.118","TLSv1.2","1484","Application Data"
"25","0.022974741","35.186.208.48","192.168.1.118","TLSv1.2","1484","Application Data"
"26","0.023013380","192.168.1.118","35.186.208.48","TCP","66","34056 → 443 [ACK] Seq=1 Ack=8509 Win=457 Len=0 TSval=16397060 TSecr=590925133"
"27","0.023054694","35.186.208.48","192.168.1.118","TLSv1.2","2902","Application Data, Application Data"
"28","0.023085983","192.168.1.118","35.186.208.48","TCP","66","34055 → 443 [ACK] Seq=1 Ack=9927 Win=480 Len=0 TSval=16397060 TSecr=3698336611"
"29","0.023187536","35.186.208.48","192.168.1.118","TLSv1.2","2902","Application Data, Application Data"
"30","0.023212487","192.168.1.118","35.186.208.48","TCP","66","34057 → 443 [ACK] Seq=1 Ack=11345 Win=502 Len=0 TSval=16397061 TSecr=3092412953"
"31","0.023236626","35.186.208.48","192.168.1.118","TLSv1.2","2902","Application Data, Application Data"
"32","0.023259064","192.168.1.118","35.186.208.48","TCP","66","34056 → 443 [ACK] Seq=1 Ack=11345 Win=502 Len=0 TSval=16397061 TSecr=590925135"
"33","0.023271702","35.186.208.48","192.168.1.118","TLSv1.2","2902","Application Data, Application Data"
"34","0.023293178","192.168.1.118","35.186.208.48","TCP","66","34055 → 443 [ACK] Seq=1 Ack=12763 Win=524 Len=0 TSval=16397061 TSecr=3698336613"
"35","0.023305916","35.186.208.48","192.168.1.118","TLSv1.2","2902","Application Data, Application Data"
"36","0.023325254","192.168.1.118","35.186.208.48","TCP","66","34057 → 443 [ACK] Seq=1 Ack=14181 Win=546 Len=0 TSval=16397061 TSecr=3092412955"
"37","0.025438553","35.186.208.48","192.168.1.118","TLSv1.2","2902","Application Data, Application Data"
"38","0.025522643","192.168.1.118","35.186.208.48","TCP","66","34055 → 443 [ACK] Seq=1 Ack=15599 Win=568 Len=0 TSval=16397063 TSecr=3698336615"
"39","0.025562669","35.186.208.48","192.168.1.118","TLSv1.2","2902","Application Data, Application Data"
"40","0.025586333","192.168.1.118","35.186.208.48","TCP","66","34056 → 443 [ACK] Seq=1 Ack=14181 Win=546 Len=0 TSval=16397063 TSecr=590925137"
"41","0.025649610","35.186.208.48","192.168.1.118","TLSv1.2","2902","Application Data, Application Data"
"42","0.025680386","192.168.1.118","35.186.208.48","TCP","66","34057 → 443 [ACK] Seq=1 Ack=17017 Win=590 Len=0 TSval=16397063 TSecr=3092412957"
"43","0.025725725","35.186.208.48","192.168.1.118","TLSv1.2","2902","Application Data, Application Data"
"44","0.025748376","192.168.1.118","35.186.208.48","TCP","66","34055 → 443 [ACK] Seq=1 Ack=18435 Win=612 Len=0 TSval=16397063 TSecr=3698336616"
"45","0.025761201","35.186.208.48","192.168.1.118","TLSv1.2","2902","Application Data, Application Data"
"46","0.025782265","192.168.1.118","35.186.208.48","TCP","66","34057 → 443 [ACK] Seq=1 Ack=19853 Win=635 Len=0 TSval=16397063 TSecr=3092412958"
"47","0.025794403","35.186.208.48","192.168.1.118","TLSv1.2","2902","Application Data, Application Data"
"48","0.025816128","192.168.1.118","35.186.208.48","TCP","66","34056 → 443 [ACK] Seq=1 Ack=17017 Win=590 Len=0 TSval=16397063 TSecr=590925139"
"49","0.027101423","35.186.208.48","192.168.1.118","TLSv1.2","2902","Application Data, Application Data"
"50","0.027189664","192.168.1.118","35.186.208.48","TCP","66","34055 → 443 [ACK] Seq=1 Ack=21271 Win=657 Len=0 TSval=16397065 TSecr=3698336618"
"51","0.027230828","35.186.208.48","192.168.1.118","TLSv1.2","2902","Application Data, Application Data"
"52","0.027251354","192.168.1.118","35.186.208.48","TCP","66","34057 → 443 [ACK] Seq=1 Ack=22689 Win=679 Len=0 TSval=16397065 TSecr=3092412960"
"53","0.027262429","35.186.208.48","192.168.1.118","TLSv1.2","2902","Application Data, Application Data"
"54","0.027284680","192.168.1.118","35.186.208.48","TCP","66","34056 → 443 [ACK] Seq=1 Ack=19853 Win=635 Len=0 TSval=16397065 TSecr=590925140"
"55","0.027293943","35.186.208.48","192.168.1.118","TLSv1.2","1484","Application Data"
"56","0.030288685","35.186.208.48","192.168.1.118","TLSv1.2","2902","Application Data, Application Data"
"57","0.030371963","192.168.1.118","35.186.208.48","TCP","66","34056 → 443 [ACK] Seq=1 Ack=22689 Win=679 Len=0 TSval=16397068 TSecr=590925142"
"58","0.035151605","35.186.208.48","192.168.1.118","TLSv1.2","1484","Application Data"
"59","0.036281445","35.186.208.48","192.168.1.118","TLSv1.2","4320","Application Data, Application Data, Application Data"
"60","0.036354360","192.168.1.118","35.186.208.48","TCP","66","34056 → 443 [ACK] Seq=1 Ack=28361 Win=768 Len=0 TSval=16397074 TSecr=590925151"
"61","0.037800035","35.186.208.48","192.168.1.118","TLSv1.2","2902","Application Data, Application Data"
"62","0.037877038","192.168.1.118","35.186.208.48","TCP","66","34056 → 443 [ACK] Seq=1 Ack=31197 Win=812 Len=0 TSval=16397075 TSecr=590925152"
"63","0.038682491","35.186.208.48","192.168.1.118","TLSv1.2","2902","Application Data, Application Data"
"64","0.038766169","192.168.1.118","35.186.208.48","TCP","66","34056 → 443 [ACK] Seq=1 Ack=34033 Win=856 Len=0 TSval=16397076 TSecr=590925153"
"65","0.040735463","35.186.208.48","192.168.1.118","TLSv1.2","2902","Application Data, Application Data"
"66","0.040823379","192.168.1.118","35.186.208.48","TCP","66","34056 → 443 [ACK] Seq=1 Ack=36869 Win=900 Len=0 TSval=16397078 TSecr=590925155"
"67","0.041167453","192.168.1.118","23.193.185.199","TCP","66","42723 → 443 [ACK] Seq=1 Ack=52 Win=285 Len=0 TSval=16397079 TSecr=3753736160"
"68","0.043004330","35.186.208.48","192.168.1.118","TLSv1.2","2902","Application Data, Application Data"
"69","0.043086608","192.168.1.118","35.186.208.48","TCP","66","34056 → 443 [ACK] Seq=1 Ack=39705 Win=945 Len=0 TSval=16397080 TSecr=590925156"
"70","0.043130272","35.186.208.48","192.168.1.118","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]"
