frame.number,_ws.col.Time,_ws.col.Source,_ws.col.Destination,_ws.col.Protocol,frame.len,_ws.col.Info
"1","0.000000000","192.168.1.1","224.0.0.251","IGMPv2","46","Membership Report group 224.0.0.251"
"2","0.000607459","Cisco-Li_5b:1c:ce","IntelCor_b7:52:73","ARP","42","Who has 192.168.1.118? Tell 192.168.1.1"
"3","0.000642685","IntelCor_b7:52:73","Cisco-Li_5b:1c:ce","ARP","42","192.168.1.118 is at dc:fb:48:b7:52:73"
"4","0.014631012","192.168.1.118","192.168.1.102","TCP","176","38457 → 8009 [PSH, ACK] Seq=1 Ack=1 Win=364 Len=110 TSval=24810419 TSecr=5071699 [TCP segment of a reassembled PDU]"
"5","0.028617802","192.168.1.102","192.168.1.118","TCP","176","8009 → 38457 [PSH, ACK] Seq=1 Ack=111 Win=287 Len=110 TSval=5072201 TSecr=24810419 [TCP segment of a reassembled PDU]"
"6","0.028714305","192.168.1.118","192.168.1.102","TCP","66","38457 → 8009 [ACK] Seq=111 Ack=111 Win=364 Len=0 TSval=24810433 TSecr=5072201"
"7","0.772846086","192.168.1.118","209.18.47.62","DNS","75","Standard query 0x5d2a A www.gstatic.com"
"8","0.791462188","209.18.47.62","192.168.1.118","DNS","91","Standard query response 0x5d2a A www.gstatic.com A 172.217.6.195"
"9","0.791933029","192.168.1.118","172.217.6.195","TCP","74","44991 → 80 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=24811196 TSecr=0 WS=128"
"10","0.808216761","172.217.6.195","192.168.1.118","TCP","74","80 → 44991 [SYN, ACK] Seq=0 Ack=1 Win=60192 Len=0 MSS=1380 SACK_PERM=1 TSval=1947291888 TSecr=24811196 WS=256"
"11","0.808345466","192.168.1.118","172.217.6.195","TCP","66","44991 → 80 [ACK] Seq=1 Ack=1 Win=29312 Len=0 TSval=24811213 TSecr=1947291888"
"12","0.808771831","192.168.1.118","172.217.6.195","HTTP","347","GET /generate_204 HTTP/1.1 "
"13","0.832239052","172.217.6.195","192.168.1.118","TCP","66","80 → 44991 [ACK] Seq=1 Ack=282 Win=61440 Len=0 TSval=1947291913 TSecr=24811213"
"14","0.833126108","172.217.6.195","192.168.1.118","HTTP","149","HTTP/1.1 204 No Content "
"15","0.833178310","192.168.1.118","172.217.6.195","TCP","66","44991 → 80 [ACK] Seq=282 Ack=84 Win=29312 Len=0 TSval=24811238 TSecr=1947291913"
"16","1.637162411","192.168.1.102","224.0.0.251","MDNS","183","Standard query response 0x0000 SRV, cache flush 0 0 8009 2c3f16b2-da5c-4b6f-d6cf-bfba61c12490.local"
"17","1.944574820","192.168.1.104","255.255.255.255","UDP","217","49154 → 6666 Len=175"
"18","4.348542393","IntelCor_b7:52:73","Broadcast","ARP","60","Who has 192.168.1.1? Tell 192.168.1.118"
"19","4.352413753","Cisco-Li_5b:1c:ce","IntelCor_b7:52:73","ARP","42","192.168.1.1 is at 58:6d:8f:5b:1c:ce"
"20","5.019422123","192.168.1.104","255.255.255.255","UDP","217","49154 → 6666 Len=175"
"21","5.030669329","192.168.1.118","192.168.1.102","TCP","176","38457 → 8009 [PSH, ACK] Seq=111 Ack=111 Win=364 Len=110 TSval=24815435 TSecr=5072201 [TCP segment of a reassembled PDU]"
"22","5.040202263","192.168.1.102","192.168.1.118","TCP","176","8009 → 38457 [PSH, ACK] Seq=111 Ack=221 Win=287 Len=110 TSval=5072702 TSecr=24815435 [TCP segment of a reassembled PDU]"
"23","5.040301641","192.168.1.118","192.168.1.102","TCP","66","38457 → 8009 [ACK] Seq=221 Ack=221 Win=364 Len=0 TSval=24815445 TSecr=5072702"
"24","8.088567239","192.168.1.104","255.255.255.255","UDP","217","49154 → 6666 Len=175"
"25","8.707476025","192.168.1.100","224.0.0.251","MDNS","175","Standard query 0x0000 ANY cjqg._smb._tcp.local, "QM" question ANY cjqg._companion-link._tcp.local, "QM" question SRV 0 0 445 cjqg.local SRV 0 0 56262 cjqg.local OPT"
"26","9.322072797","192.168.1.102","224.0.0.251","MDNS","409","Standard query response 0x0000 PTR Google-Home-Mini-2c3f16b2da5c4b6fd6cfbfba61c12490._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 2c3f16b2-da5c-4b6f-d6cf-bfba61c12490.local A, cache flush 192.168.1.102"
