"No.","Time","Source","Destination","Protocol","Length","Info"
"42","0.265039","Netgear_cd:f4:b4","Broadcast","802.11","268","Beacon frame, SN=4081, FN=0, Flags=........C, BI=31, SSID=NTGR_VMB_1462060951"
"43","0.276992","Cisco-Li_5b:1c:d0","Broadcast","802.11","288","Beacon frame, SN=106, FN=0, Flags=........C, BI=100, SSID=Cisco19640"
"44","0.279986","","Apple_53:af:45 (38:f9:d3:53:af:45) (RA)","802.11","39","Acknowledgement, Flags=........C"
"45","0.281860","Cisco-Li_5b:1c:d0","Apple_53:af:45","802.11","226","QoS Data, SN=2573, FN=0, Flags=.p....F.C"
"46","0.294940","Netgear_cd:f4:b4","Broadcast","802.11","268","Beacon frame, SN=4082, FN=0, Flags=........C, BI=31, SSID=NTGR_VMB_1462060951"
"47","0.299981","BelkinIn_5a:3e:57","Broadcast","802.11","363","Beacon frame, SN=2054, FN=0, Flags=........C, BI=100, SSID=Linksys04458"
"48","0.307232","NovatelW_6a:54:37","Broadcast","802.11","284","Beacon frame, SN=2553, FN=0, Flags=........C, BI=100, SSID=Verizon-MiFi8800L-5436"
"49","0.310645","22:32:33:7b:31:3b","Broadcast","802.11","209","Beacon frame, SN=1767, FN=0, Flags=........C, BI=100, SSID=Anycast-30FF9A"
"50","0.319047","","Broadcom_08:e6:6e (e0:3e:44:08:e6:6e) (RA)","802.11","39","Clear-to-send, Flags=........C"
"51","0.326491","Netgear_cd:f4:b4","Broadcast","802.11","268","Beacon frame, SN=4083, FN=0, Flags=........C, BI=31, SSID=NTGR_VMB_1462060951"
"52","0.340440","","Broadcom_08:e6:6e (e0:3e:44:08:e6:6e) (RA)","802.11","39","Clear-to-send, Flags=........C"
"53","0.354376","","Apple_53:af:45 (38:f9:d3:53:af:45) (RA)","802.11","39","Clear-to-send, Flags=........C"
"54","0.354433","Cisco-Li_5b:1c:d0 (58:6d:8f:5b:1c:d0) (TA)","Apple_53:af:45 (38:f9:d3:53:af:45) (RA)","802.11","57","802.11 Block Ack, Flags=........C"
"55","0.354493","","Apple_53:af:45 (38:f9:d3:53:af:45) (RA)","802.11","39","Clear-to-send, Flags=........C"
"56","0.354628","Cisco-Li_5b:1c:d0 (58:6d:8f:5b:1c:d0) (TA)","Apple_53:af:45 (38:f9:d3:53:af:45) (RA)","802.11","57","802.11 Block Ack, Flags=........C"
