2,9.321368110,1,362
2,9.344694889,0,450
2,9.491965868,1,367
2,9.513696704,0,450
2,18.633233088,1,447
2,18.696389048,0,767
2,19.072601052,1,445
2,19.097516037,0,865
2,21.000197916,1,448
2,21.039519292,0,768
2,23.236914360,1,445
2,23.253872104,0,865
2,23.254362133,1,445
2,23.274750147,0,865
2,24.161325963,1,448
2,24.201455380,0,768
2,24.202049276,1,448
2,24.235823921,0,768
2,25.251548170,1,447
2,25.264174762,1,447
2,25.295267737,0,767
2,25.303957304,0,767
2,33.485836721,1,447
2,33.520410331,0,767
2,34.612652233,1,447
2,34.661174831,0,767
2,36.735174181,1,447
2,36.772380333,0,767
