frame.number,_ws.col.Time,_ws.col.Source,_ws.col.Destination,_ws.col.Protocol,frame.len,_ws.col.Info
"1","0.000000000","192.168.1.118","35.227.209.247","TLSv1.2","192","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"2","0.005356337","104.106.255.95","192.168.1.118","SSL","1514","Continuation Data"
"3","0.007763825","104.106.255.95","192.168.1.118","SSL","18890","Continuation Data"
"4","0.008689350","104.106.255.95","192.168.1.118","SSL","2962","Continuation Data"
"5","0.013216687","104.106.255.95","192.168.1.118","SSL","1514","Continuation Data"
"6","0.016518237","104.106.255.95","192.168.1.118","SSL","1514","Continuation Data"
"7","0.017570400","192.168.1.118","35.186.208.48","TLSv1","583","Client Hello"
"8","0.022863087","104.106.255.95","192.168.1.118","SSL","1514","Continuation Data"
"9","0.023881387","35.227.209.247","192.168.1.118","TLSv1.2","117","Change Cipher Spec, Encrypted Handshake Message"
"10","0.023974487","104.106.255.95","192.168.1.118","SSL","1514","Continuation Data"
"11","0.024115000","192.168.1.118","104.106.255.95","TCP","66","46346 → 443 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=3174617672 TSecr=3676536637"
"12","0.033233237","192.168.1.118","104.106.255.95","TCP","66","46348 → 443 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=3174617681 TSecr=3676536648"
"13","0.033321625","192.168.1.118","104.106.255.95","TCP","66","46350 → 443 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=3174617681 TSecr=3676536648"
"14","0.034053800","192.168.1.118","35.186.208.48","TLSv1","583","Client Hello"
"15","0.037380375","35.186.208.48","192.168.1.118","TCP","66","443 → 35104 [ACK] Seq=1 Ack=518 Win=240 Len=0 TSval=3907182389 TSecr=4248842205"
"16","0.046331087","192.168.1.118","104.106.255.95","TCP","66","46342 → 443 [ACK] Seq=1 Ack=28961 Win=186 Len=0 TSval=3174617694 TSecr=3676536659"
"17","0.046609100","35.186.208.48","192.168.1.118","TLSv1.2","1484","Server Hello"
"18","0.046686962","192.168.1.118","35.186.208.48","TCP","66","35104 → 443 [ACK] Seq=518 Ack=1419 Win=493 Len=0 TSval=4248842235 TSecr=3907182390"
"19","0.050542837","192.168.1.118","35.186.208.48","TLSv1","583","Client Hello"
"20","0.051025525","35.186.208.48","192.168.1.118","TLSv1.2","4780","Certificate, Server Key Exchange, Server Hello Done"
"21","0.051170087","192.168.1.118","35.186.208.48","TCP","66","35104 → 443 [ACK] Seq=518 Ack=6133 Win=457 Len=0 TSval=4248842239 TSecr=3907182390"
"22","0.054943237","35.186.208.48","192.168.1.118","TCP","66","443 → 35106 [ACK] Seq=1 Ack=518 Win=240 Len=0 TSval=2734326389 TSecr=4248842222"
"23","0.059529175","35.186.208.48","192.168.1.118","TLSv1.2","1484","Server Hello"
"24","0.059647087","192.168.1.118","35.186.208.48","TCP","66","35106 → 443 [ACK] Seq=518 Ack=1419 Win=493 Len=0 TSval=4248842248 TSecr=2734326391"
"25","0.060994512","35.186.208.48","192.168.1.118","TCP","4320","443 → 35106 [ACK] Seq=1419 Ack=518 Win=240 Len=4254 TSval=2734326391 TSecr=4248842222 [TCP segment of a reassembled PDU]"
"26","0.061158487","192.168.1.118","35.186.208.48","TCP","66","35106 → 443 [ACK] Seq=518 Ack=5673 Win=460 Len=0 TSval=4248842249 TSecr=2734326391"
"27","0.061224587","35.186.208.48","192.168.1.118","TLSv1.2","526","Certificate, Server Key Exchange, Server Hello Done"
"28","0.061288700","192.168.1.118","35.186.208.48","TCP","66","35106 → 443 [ACK] Seq=518 Ack=6133 Win=457 Len=0 TSval=4248842249 TSecr=2734326392"
"29","0.064330450","192.168.1.118","35.227.209.247","TCP","66","44236 → 443 [ACK] Seq=127 Ack=52 Win=501 Len=0 TSval=3512613760 TSecr=407241316"
"30","0.066932950","192.168.1.118","35.186.208.48","TLSv1","583","Client Hello"
"31","0.070451225","104.106.255.95","192.168.1.118","SSL","1514","Continuation Data"
"32","0.071713250","104.106.255.95","192.168.1.118","SSL","2962","Continuation Data"
"33","0.072977837","104.106.255.95","192.168.1.118","SSL","1514","Continuation Data"
"34","0.077765475","104.106.255.95","192.168.1.118","SSL","1514","Continuation Data"
"35","0.079290075","104.106.255.95","192.168.1.118","SSL","1514","Continuation Data"
"36","0.080294225","104.106.255.95","192.168.1.118","SSL","2962","Continuation Data"
"37","0.081119050","35.186.208.48","192.168.1.118","TCP","66","443 → 35108 [ACK] Seq=1 Ack=518 Win=240 Len=0 TSval=3907182433 TSecr=4248842238"
"38","0.082331012","35.186.208.48","192.168.1.118","TLSv1.2","1484","Server Hello"
"39","0.082391400","192.168.1.118","35.186.208.48","TCP","66","35108 → 443 [ACK] Seq=518 Ack=1419 Win=493 Len=0 TSval=4248842270 TSecr=3907182434"
"40","0.084250475","192.168.1.118","35.186.208.48","TLSv1","583","Client Hello"
"41","0.084260912","35.186.208.48","192.168.1.118","TLSv1.2","4780","Certificate, Server Key Exchange, Server Hello Done"
"42","0.084346637","192.168.1.118","35.186.208.48","TCP","66","35108 → 443 [ACK] Seq=518 Ack=6133 Win=457 Len=0 TSval=4248842272 TSecr=3907182434"
"43","0.084776950","192.168.1.118","104.106.255.95","TLSv1.2","1291","Application Data"
"44","0.085061937","192.168.1.118","104.106.255.95","TLSv1.2","1292","Application Data"
"45","0.085298862","192.168.1.118","104.106.255.95","TLSv1.2","1358","Application Data"
"46","0.085369462","192.168.1.118","104.106.255.95","TCP","66","46342 → 443 [ACK] Seq=1 Ack=40545 Win=501 Len=0 TSval=3174617733 TSecr=3676536725"
"47","0.085929125","104.106.255.95","192.168.1.118","SSL","1554","Continuation Data"
"48","0.085999200","192.168.1.118","104.106.255.95","TCP","66","46342 → 443 [ACK] Seq=1 Ack=42033 Win=524 Len=0 TSval=3174617734 TSecr=3676536732"
"49","0.087389325","192.168.1.118","35.227.209.247","TLSv1.2","294","Application Data"
"50","0.089797975","192.168.1.118","35.186.208.48","TLSv1.2","192","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"51","0.092444025","192.168.1.118","35.186.208.48","TLSv1.2","192","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"52","0.093117112","35.186.208.48","192.168.1.118","TCP","66","443 → 35110 [ACK] Seq=1 Ack=518 Win=240 Len=0 TSval=3810445398 TSecr=4248842255"
"53","0.094661425","35.186.208.48","192.168.1.118","TLSv1.2","1484","Server Hello"
"54","0.094718600","192.168.1.118","35.186.208.48","TCP","66","35110 → 443 [ACK] Seq=518 Ack=1419 Win=493 Len=0 TSval=4248842283 TSecr=3810445400"
"55","0.095006175","192.168.1.118","35.186.208.48","TLSv1.2","192","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"56","0.096582125","35.186.208.48","192.168.1.118","TLSv1.2","4780","Certificate, Server Key Exchange, Server Hello Done"
"57","0.096658812","192.168.1.118","35.186.208.48","TCP","66","35110 → 443 [ACK] Seq=518 Ack=6133 Win=457 Len=0 TSval=4248842285 TSecr=3810445400"
"58","0.098352887","35.186.208.48","192.168.1.118","TCP","66","443 → 35112 [ACK] Seq=1 Ack=518 Win=240 Len=0 TSval=1254249136 TSecr=4248842272"
"59","0.099328650","192.168.1.118","35.186.208.48","TLSv1.2","192","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"60","0.099341187","35.186.208.48","192.168.1.118","TLSv1.2","1484","Server Hello"
"61","0.099418800","192.168.1.118","35.186.208.48","TCP","66","35112 → 443 [ACK] Seq=518 Ack=1419 Win=493 Len=0 TSval=4248842287 TSecr=1254249138"
"62","0.101819012","35.186.208.48","192.168.1.118","TLSv1.2","4780","Certificate, Server Key Exchange, Server Hello Done"
"63","0.101905487","192.168.1.118","35.186.208.48","TCP","66","35112 → 443 [ACK] Seq=518 Ack=6133 Win=457 Len=0 TSval=4248842290 TSecr=1254249138"
"64","0.107413800","35.227.209.247","192.168.1.118","TLSv1.2","1484","Application Data"
"65","0.107510537","192.168.1.118","35.227.209.247","TCP","66","44236 → 443 [ACK] Seq=355 Ack=1470 Win=493 Len=0 TSval=3512613803 TSecr=407241404"
"66","0.109078687","35.227.209.247","192.168.1.118","TLSv1.2","2902","Application Data, Application Data"
"67","0.109167625","192.168.1.118","35.227.209.247","TCP","66","44236 → 443 [ACK] Seq=355 Ack=4306 Win=471 Len=0 TSval=3512613805 TSecr=407241404"
"68","0.109245962","35.227.209.247","192.168.1.118","TLSv1.2","2902","Application Data, Application Data"
"69","0.109281562","192.168.1.118","35.227.209.247","TCP","66","44236 → 443 [ACK] Seq=355 Ack=7142 Win=449 Len=0 TSval=3512613805 TSecr=407241404"
"70","0.115283625","35.227.209.247","192.168.1.118","TLSv1.2","1484","Application Data"
"71","0.115384150","192.168.1.118","35.227.209.247","TCP","66","44236 → 443 [ACK] Seq=355 Ack=8560 Win=438 Len=0 TSval=3512613811 TSecr=407241408"
"72","0.115531150","35.227.209.247","192.168.1.118","TLSv1.2","1484","Application Data"
"73","0.115576837","192.168.1.118","35.227.209.247","TCP","66","44236 → 443 [ACK] Seq=355 Ack=9978 Win=427 Len=0 TSval=3512613812 TSecr=407241408"
"74","0.115608900","104.106.255.95","192.168.1.118","TCP","2962","[TCP segment of a reassembled PDU]"
"75","0.115669112","192.168.1.118","104.106.255.95","TCP","66","46346 → 443 [ACK] Seq=1226 Ack=2897 Win=479 Len=0 TSval=3174617764 TSecr=3676536770"
"76","0.123852175","104.106.255.95","192.168.1.118","TLSv1.2","6232","Application Data"
"77","0.123979612","192.168.1.118","104.106.255.95","TCP","66","46346 → 443 [ACK] Seq=1226 Ack=9063 Win=431 Len=0 TSval=3174617772 TSecr=3676536770"
"78","0.126400412","35.186.208.48","192.168.1.118","TLSv1.2","117","Change Cipher Spec, Encrypted Handshake Message"
"79","0.126519662","35.186.208.48","192.168.1.118","TLSv1.2","117","Change Cipher Spec, Encrypted Handshake Message"
"80","0.126593962","35.186.208.48","192.168.1.118","TLSv1.2","117","Change Cipher Spec, Encrypted Handshake Message"
"81","0.126672312","104.106.255.95","192.168.1.118","TLSv1.2","823","Application Data"
"82","0.126766275","192.168.1.118","104.106.255.95","TCP","66","46350 → 443 [ACK] Seq=1293 Ack=758 Win=496 Len=0 TSval=3174617775 TSecr=3676536775"
"83","0.126992762","104.106.255.95","192.168.1.118","TLSv1.2","8861","Application Data"
"84","0.127111875","192.168.1.118","104.106.255.95","TCP","66","46348 → 443 [ACK] Seq=1227 Ack=8796 Win=433 Len=0 TSval=3174617775 TSecr=3676536776"
"85","0.127187375","35.227.209.247","192.168.1.118","TLSv1.2","2902","Application Data, Application Data"
"86","0.127261600","192.168.1.118","35.227.209.247","TCP","66","44236 → 443 [ACK] Seq=355 Ack=12814 Win=405 Len=0 TSval=3512613823 TSecr=407241413"
"87","0.127334062","35.227.209.247","192.168.1.118","TLSv1.2","1908","Application Data, Application Data"
"88","0.127405100","192.168.1.118","35.227.209.247","TCP","66","44236 → 443 [ACK] Seq=355 Ack=14656 Win=391 Len=0 TSval=3512613823 TSecr=407241418"
"89","0.129999600","35.186.208.48","192.168.1.118","TLSv1.2","117","Change Cipher Spec, Encrypted Handshake Message"
"90","0.152005500","192.168.1.118","35.186.208.48","TLSv1.2","321","Application Data"
"91","0.152287075","192.168.1.118","35.186.208.48","TLSv1.2","353","Application Data"
"92","0.152503937","192.168.1.118","35.186.208.48","TLSv1.2","326","Application Data"
"93","0.152719112","192.168.1.118","35.186.208.48","TLSv1.2","324","Application Data"
"94","0.154992975","192.168.1.118","35.186.208.48","TLSv1.2","192","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"95","0.162970887","Cisco-Li_5b:1c:ce","IntelCor_b7:52:73","ARP","42","Who has 192.168.1.118? Tell 192.168.1.1"
"96","0.163024725","IntelCor_b7:52:73","Cisco-Li_5b:1c:ce","ARP","42","192.168.1.118 is at dc:fb:48:b7:52:73"
"97","0.168454237","35.186.208.48","192.168.1.118","TLSv1.2","1484","Application Data"
"98","0.169874087","35.186.208.48","192.168.1.118","TLSv1.2","2902","Application Data, Application Data"
"99","0.170009137","35.186.208.48","192.168.1.118","TLSv1.2","2902","Application Data, Application Data"
"100","0.172593987","35.186.208.48","192.168.1.118","TLSv1.2","2902","Application Data, Application Data"
"101","0.174595062","35.186.208.48","192.168.1.118","TLSv1.2","2902","Application Data, Application Data"
"102","0.175386950","35.186.208.48","192.168.1.118","TLSv1.2","2902","Application Data, Application Data"
