frame.number,_ws.col.Time,_ws.col.Source,_ws.col.Destination,_ws.col.Protocol,frame.len,_ws.col.Info
"1","0.000000000","172.217.10.46","192.168.1.118","TCP","66","443 → 46384 [ACK] Seq=1 Ack=1 Win=248 Len=0 TSval=78893355 TSecr=18623869"
"2","0.014626262","172.217.10.46","192.168.1.118","TLSv1.2","1484","Application Data"
"3","0.014705090","192.168.1.118","172.217.10.46","TCP","66","46384 → 443 [ACK] Seq=1 Ack=1419 Win=509 Len=0 TSval=18623911 TSecr=78893369"
"4","0.015972047","172.217.10.46","192.168.1.118","TLSv1.2","729","Application Data"
"5","0.016030824","192.168.1.118","172.217.10.46","TCP","66","46384 → 443 [ACK] Seq=1 Ack=2082 Win=531 Len=0 TSval=18623912 TSecr=78893370"
"6","0.035990847","192.168.1.118","172.217.10.46","TLSv1.2","97","Encrypted Alert"
"7","0.038120372","192.168.1.118","172.217.10.46","TCP","66","46384 → 443 [FIN, ACK] Seq=32 Ack=2082 Win=531 Len=0 TSval=18623934 TSecr=78893370"
"8","0.050355175","172.217.10.46","192.168.1.118","TCP","66","443 → 46384 [FIN, ACK] Seq=2082 Ack=32 Win=248 Len=0 TSval=78893405 TSecr=18623932"
"9","0.050450778","192.168.1.118","172.217.10.46","TCP","66","46384 → 443 [ACK] Seq=33 Ack=2083 Win=531 Len=0 TSval=18623947 TSecr=78893405"
"10","0.061656683","172.217.10.46","192.168.1.118","TCP","66","443 → 46384 [ACK] Seq=2083 Ack=33 Win=248 Len=0 TSval=78893415 TSecr=18623934"
"11","0.667048808","192.168.1.118","192.168.1.102","TCP","176","33923 → 8009 [PSH, ACK] Seq=1 Ack=1 Win=364 Len=110 TSval=18624563 TSecr=4407769 [TCP segment of a reassembled PDU]"
"12","0.676373335","192.168.1.102","192.168.1.118","TCP","176","8009 → 33923 [PSH, ACK] Seq=1 Ack=111 Win=294 Len=110 TSval=4408270 TSecr=18624563 [TCP segment of a reassembled PDU]"
"13","0.676476688","192.168.1.118","192.168.1.102","TCP","66","33923 → 8009 [ACK] Seq=111 Ack=111 Win=364 Len=0 TSval=18624573 TSecr=4408270"
"14","0.743333028","192.168.1.118","142.250.31.188","TCP","66","43048 → 443 [ACK] Seq=1 Ack=1 Win=951 Len=0 TSval=18624640 TSecr=3775482869"
"15","0.776049511","142.250.31.188","192.168.1.118","TCP","66","[TCP ACKed unseen segment] 443 → 43048 [ACK] Seq=1 Ack=2 Win=253 Len=0 TSval=3775527924 TSecr=18489434"
"16","2.849812577","192.168.1.104","255.255.255.255","UDP","217","49154 → 6666 Len=175"
"17","4.080490649","192.168.1.100","224.0.0.251","MDNS","563","Standard query 0x0000 PTR _uscan._tcp.local, "QM" question PTR _ippusb._tcp.local, "QM" question PTR _uscans._tcp.local, "QM" question PTR _scanner._tcp.local, "QM" question PTR _ipp._tcp.local, "QM" question PTR _ipps._tcp.local, "QM" question PTR _printer._tcp.local, "QM" question PTR _pdl-datastream._tcp.local, "QM" question PTR _ptp._tcp.local, "QM" question PTR _airplay._tcp.local, "QM" question PTR _raop._tcp.local, "QM" question PTR _airport._tcp.local, "QM" question PTR _rdlink._tcp.local, "QM" question PTR _companion-link._tcp.local, "QM" question PTR _googlecast._tcp.local, "QM" question PTR _apple-mobdev._tcp.local, "QM" question PTR 8ed307c3._sub._apple-mobdev2._tcp.local, "QM" question PTR _apple-pairable._tcp.local, "QM" question TXT Google-Home-Mini-2c3f16b2da5c4b6fd6cfbfba61c12490._googlecast._tcp.local, "QM" question PTR _homekit._tcp.local, "QM" question PTR _afpovertcp._tcp.local, "QM" question PTR _smb._tcp.local, "QM" question PTR _rfb._tcp.local, "QM" question PTR _adisk._tcp.local, "QM" question PTR cjqg._companion-link._tcp.local PTR Google-Home-Mini-2c3f16b2da5c4b6fd6cfbfba61c12490._googlecast._tcp.local PTR cjqg._smb._tcp.local OPT"
"18","4.179787324","192.168.1.102","224.0.0.251","MDNS","183","Standard query response 0x0000 SRV, cache flush 0 0 8009 2c3f16b2-da5c-4b6f-d6cf-bfba61c12490.local"
"19","4.895992016","192.168.1.1","224.0.0.1","IGMPv2","42","Membership Query, general"
"20","5.678082300","192.168.1.118","192.168.1.102","TCP","176","33923 → 8009 [PSH, ACK] Seq=111 Ack=111 Win=364 Len=110 TSval=18629574 TSecr=4408270 [TCP segment of a reassembled PDU]"
"21","5.699117499","192.168.1.102","192.168.1.118","TCP","176","8009 → 33923 [PSH, ACK] Seq=111 Ack=221 Win=294 Len=110 TSval=4408771 TSecr=18629574 [TCP segment of a reassembled PDU]"
"22","5.699212702","192.168.1.118","192.168.1.102","TCP","66","33923 → 8009 [ACK] Seq=221 Ack=221 Win=364 Len=0 TSval=18629595 TSecr=4408771"
"23","5.920716955","192.168.1.104","255.255.255.255","UDP","217","49154 → 6666 Len=175"
"24","8.890375226","192.168.1.104","255.255.255.255","UDP","217","49154 → 6666 Len=175"
"25","9.302047571","192.168.1.102","224.0.0.251","IGMPv2","46","Membership Report group 224.0.0.251"
