frame.number,_ws.col.Time,_ws.col.Source,_ws.col.Destination,_ws.col.Protocol,frame.len,_ws.col.Info
"1","0.000000000","192.168.1.118","192.168.1.102","TCP","176","33923 → 8009 [PSH, ACK] Seq=1 Ack=1 Win=364 Len=110 TSval=18744962 TSecr=4419808 [TCP segment of a reassembled PDU]"
"2","0.014268887","192.168.1.102","192.168.1.118","TCP","176","8009 → 33923 [PSH, ACK] Seq=1 Ack=111 Win=294 Len=110 TSval=4420310 TSecr=18744962 [TCP segment of a reassembled PDU]"
"3","0.014367303","192.168.1.118","192.168.1.102","TCP","66","33923 → 8009 [ACK] Seq=111 Ack=111 Win=364 Len=0 TSval=18744977 TSecr=4420310"
"4","1.901676857","192.168.1.104","255.255.255.255","UDP","217","49154 → 6666 Len=175"
"5","3.132968263","192.168.1.100","224.0.0.251","MDNS","563","Standard query 0x0000 PTR _uscan._tcp.local, "QM" question PTR _ippusb._tcp.local, "QM" question PTR _uscans._tcp.local, "QM" question PTR _scanner._tcp.local, "QM" question PTR _ipp._tcp.local, "QM" question PTR _ipps._tcp.local, "QM" question PTR _printer._tcp.local, "QM" question PTR _pdl-datastream._tcp.local, "QM" question PTR _ptp._tcp.local, "QM" question PTR _airplay._tcp.local, "QM" question PTR _raop._tcp.local, "QM" question PTR _airport._tcp.local, "QM" question PTR _rdlink._tcp.local, "QM" question PTR _companion-link._tcp.local, "QM" question PTR _googlecast._tcp.local, "QM" question PTR _apple-mobdev._tcp.local, "QM" question PTR 8ed307c3._sub._apple-mobdev2._tcp.local, "QM" question PTR _apple-pairable._tcp.local, "QM" question TXT Google-Home-Mini-2c3f16b2da5c4b6fd6cfbfba61c12490._googlecast._tcp.local, "QM" question PTR _homekit._tcp.local, "QM" question PTR _afpovertcp._tcp.local, "QM" question PTR _smb._tcp.local, "QM" question PTR _rfb._tcp.local, "QM" question PTR _adisk._tcp.local, "QM" question PTR cjqg._companion-link._tcp.local PTR Google-Home-Mini-2c3f16b2da5c4b6fd6cfbfba61c12490._googlecast._tcp.local PTR cjqg._smb._tcp.local OPT"
"6","3.232564586","192.168.1.102","224.0.0.251","MDNS","183","Standard query response 0x0000 SRV, cache flush 0 0 8009 2c3f16b2-da5c-4b6f-d6cf-bfba61c12490.local"
"7","4.477192271","192.168.1.118","172.217.12.131","TCP","66","36710 → 80 [ACK] Seq=1 Ack=1 Win=229 Len=0 TSval=18749440 TSecr=371013399"
"8","4.500297280","172.217.12.131","192.168.1.118","TCP","66","[TCP ACKed unseen segment] 80 → 36710 [ACK] Seq=1 Ack=2 Win=240 Len=0 TSval=371058430 TSecr=18614353"
"9","4.876346491","192.168.1.104","255.255.255.255","UDP","217","49154 → 6666 Len=175"
"10","5.016458182","192.168.1.118","192.168.1.102","TCP","176","33923 → 8009 [PSH, ACK] Seq=111 Ack=111 Win=364 Len=110 TSval=18749979 TSecr=4420310 [TCP segment of a reassembled PDU]"
"11","5.025814310","192.168.1.102","192.168.1.118","TCP","176","8009 → 33923 [PSH, ACK] Seq=111 Ack=221 Win=294 Len=110 TSval=4420811 TSecr=18749979 [TCP segment of a reassembled PDU]"
"12","5.025909038","192.168.1.118","192.168.1.102","TCP","66","33923 → 8009 [ACK] Seq=221 Ack=221 Win=364 Len=0 TSval=18749988 TSecr=4420811"
"13","7.841332286","192.168.1.104","255.255.255.255","UDP","217","49154 → 6666 Len=175"
"14","8.864756030","192.168.1.1","224.0.0.1","IGMPv2","42","Membership Query, general"
