frame.number,_ws.col.Time,_ws.col.Source,_ws.col.Destination,_ws.col.Protocol,frame.len,_ws.col.Info
"1","0.000000000","45.57.91.1","192.168.1.118","SSL","4410","Continuation Data"
"2","0.004440600","192.168.1.118","45.57.91.1","TCP","66","39570 → 443 [ACK] Seq=1 Ack=1 Win=486 Len=0 TSval=869497429 TSecr=4188141255"
"3","0.004625650","192.168.1.118","45.57.91.1","TCP","66","39574 → 443 [ACK] Seq=1 Ack=1 Win=381 Len=0 TSval=869497429 TSecr=1434347034"
"4","0.004745738","192.168.1.118","45.57.91.1","TCP","66","39568 → 443 [ACK] Seq=1 Ack=4345 Win=2 Len=0 TSval=869497429 TSecr=2213332985"
"5","0.008356475","45.57.91.1","192.168.1.118","SSL","1514","Continuation Data"
"6","0.008418563","192.168.1.118","45.57.91.1","TCP","66","39570 → 443 [ACK] Seq=1 Ack=1449 Win=524 Len=0 TSval=869497433 TSecr=4188141327"
"7","0.009587075","45.57.91.1","192.168.1.118","SSL","5858","Continuation Data"
"8","0.009635113","192.168.1.118","45.57.91.1","TCP","66","39570 → 443 [ACK] Seq=1 Ack=7241 Win=614 Len=0 TSval=869497434 TSecr=4188141327"
"9","0.012030088","45.57.91.1","192.168.1.118","SSL","13098","Continuation Data"
"10","0.012112575","192.168.1.118","45.57.91.1","TCP","66","39570 → 443 [ACK] Seq=1 Ack=20273 Win=818 Len=0 TSval=869497436 TSecr=4188141327"
"11","0.013775663","45.57.91.1","192.168.1.118","SSL","5858","Continuation Data"
"12","0.013840225","192.168.1.118","45.57.91.1","TCP","66","39570 → 443 [ACK] Seq=1 Ack=26065 Win=908 Len=0 TSval=869497438 TSecr=4188141327"
"13","0.024101613","45.57.91.1","192.168.1.118","TCP","322","[TCP segment of a reassembled PDU]"
"14","0.028298213","45.57.91.1","192.168.1.118","SSL","5858","Continuation Data"
"15","0.028368375","192.168.1.118","45.57.91.1","TCP","66","39570 → 443 [ACK] Seq=1 Ack=31857 Win=999 Len=0 TSval=869497453 TSecr=4188141339"
"16","0.028507213","45.57.91.1","192.168.1.118","SSL","17442","Continuation Data"
"17","0.028532463","192.168.1.118","45.57.91.1","TCP","66","39570 → 443 [ACK] Seq=1 Ack=49233 Win=1270 Len=0 TSval=869497453 TSecr=4188141339"
"18","0.029900438","45.57.91.1","192.168.1.118","SSL","1514","Continuation Data"
"19","0.029959925","192.168.1.118","45.57.91.1","TCP","66","39570 → 443 [ACK] Seq=1 Ack=50681 Win=1293 Len=0 TSval=869497454 TSecr=4188141339"
"20","0.029999050","45.57.91.1","192.168.1.118","SSL","2962","Continuation Data"
"21","0.030014163","192.168.1.118","45.57.91.1","TCP","66","39570 → 443 [ACK] Seq=1 Ack=53577 Win=1338 Len=0 TSval=869497454 TSecr=4188141347"
"22","0.031433888","45.57.91.1","192.168.1.118","SSL","4410","Continuation Data"
"23","0.031493000","192.168.1.118","45.57.91.1","TCP","66","39570 → 443 [ACK] Seq=1 Ack=57921 Win=1406 Len=0 TSval=869497456 TSecr=4188141347"
"24","0.039698825","45.57.91.1","192.168.1.118","SSL","5858","Continuation Data"
"25","0.039763438","192.168.1.118","45.57.91.1","TCP","66","39570 → 443 [ACK] Seq=1 Ack=63713 Win=1475 Len=0 TSval=869497464 TSecr=4188141347"
"26","0.039843438","45.57.91.1","192.168.1.118","SSL","1110","Continuation Data"
