frame.number,_ws.col.Time,_ws.col.Source,_ws.col.Destination,_ws.col.Protocol,frame.len,_ws.col.Info
"1","0.000000000","192.168.1.118","35.186.208.48","TLSv1.2","338","Application Data"
"2","0.029681989","35.186.208.48","192.168.1.118","TLSv1.2","1484","Application Data"
"3","0.035267610","35.186.208.48","192.168.1.118","TLSv1.2","2902","Application Data, Application Data"
"4","0.035351337","192.168.1.118","35.186.208.48","TCP","66","35215 → 443 [ACK] Seq=1 Ack=4255 Win=3592 Len=0 TSval=18392813 TSecr=822301271"
"5","0.035399577","35.186.208.48","192.168.1.118","TLSv1.2","1484","Application Data"
"6","0.035433228","35.186.208.48","192.168.1.118","TLSv1.2","1315","Application Data"
"7","0.035452641","35.186.208.48","192.168.1.118","TLSv1.2","1484","Application Data"
"8","0.035469179","192.168.1.118","35.186.208.48","TCP","66","35217 → 443 [ACK] Seq=1 Ack=2837 Win=3422 Len=0 TSval=18392813 TSecr=384904711"
"9","0.035496618","35.186.208.48","192.168.1.118","TLSv1.2","2105","Application Data, Application Data"
"10","0.035539269","35.186.208.48","192.168.1.118","TLSv1.2","1484","Application Data"
"11","0.035561795","35.186.208.48","192.168.1.118","TLSv1.2","1484","Application Data"
"12","0.035596396","35.186.208.48","192.168.1.118","TLSv1.2","1484","Application Data"
"13","0.035615972","192.168.1.118","35.186.208.48","TCP","66","35216 → 443 [ACK] Seq=1 Ack=2837 Win=4194 Len=0 TSval=18392813 TSecr=2194011435"
"14","0.040156181","35.186.208.48","192.168.1.118","TLSv1.2","1484","Application Data"
"15","0.040228208","35.186.208.48","192.168.1.118","TLSv1.2","1484","Application Data"
"16","0.040267572","35.186.208.48","192.168.1.118","TLSv1.2","2902","Application Data, Application Data"
"17","0.040301373","192.168.1.118","35.186.208.48","TCP","66","35214 → 443 [ACK] Seq=273 Ack=4255 Win=2281 Len=0 TSval=18392818 TSecr=2092044612"
"18","0.040355288","35.186.208.48","192.168.1.118","TLSv1.2","2902","Application Data, Application Data"
