frame.number,_ws.col.Time,_ws.col.Source,_ws.col.Destination,_ws.col.Protocol,frame.len,_ws.col.Info
"1","0.000000000","104.16.14.221","192.168.1.118","TLSv1.2","755","Application Data"
"2","0.000893438","192.168.1.118","104.16.14.221","TLSv1.2","85","Encrypted Alert"
"3","0.002674288","192.168.1.118","104.16.14.221","TCP","54","46146 → 443 [FIN, ACK] Seq=32 Ack=702 Win=501 Len=0"
"4","0.004444338","192.168.1.118","209.18.47.62","DNS","71","Standard query 0x860a A quizlet.com"
"5","0.024157263","104.16.14.221","192.168.1.118","TCP","54","443 → 46146 [ACK] Seq=702 Ack=32 Win=67 Len=0"
"6","0.024655450","104.16.14.221","192.168.1.118","TCP","54","443 → 46146 [FIN, ACK] Seq=702 Ack=32 Win=67 Len=0"
"7","0.024733400","192.168.1.118","104.16.14.221","TCP","54","46146 → 443 [ACK] Seq=33 Ack=703 Win=501 Len=0"
"8","0.029359500","104.16.14.221","192.168.1.118","TCP","54","443 → 46146 [ACK] Seq=703 Ack=33 Win=67 Len=0"
"9","0.036260750","209.18.47.62","192.168.1.118","DNS","151","Standard query response 0x860a A quizlet.com A 104.16.18.221 A 104.16.15.221 A 104.16.14.221 A 104.16.17.221 A 104.16.16.221"
"10","0.036703725","192.168.1.118","209.18.47.62","DNS","71","Standard query 0x9ef3 AAAA quizlet.com"
"11","0.055092388","209.18.47.62","192.168.1.118","DNS","129","Standard query response 0x9ef3 AAAA quizlet.com SOA ian.ns.cloudflare.com"
"12","0.059069763","192.168.1.118","104.16.18.221","TCP","74","43320 → 443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2399556884 TSecr=0 WS=128"
"13","0.075865025","104.16.18.221","192.168.1.118","TCP","66","443 → 43320 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM=1 WS=1024"
"14","0.076051013","192.168.1.118","104.16.18.221","TCP","54","43320 → 443 [ACK] Seq=1 Ack=1 Win=64256 Len=0"
"15","0.090639638","192.168.1.118","104.16.18.221","TLSv1","571","Client Hello"
"16","0.106594625","104.16.18.221","192.168.1.118","TCP","54","443 → 43320 [ACK] Seq=1 Ack=518 Win=67584 Len=0"
"17","0.113285075","104.16.18.221","192.168.1.118","TLSv1.2","1514","Server Hello"
"18","0.113415825","192.168.1.118","104.16.18.221","TCP","54","43320 → 443 [ACK] Seq=518 Ack=1461 Win=63104 Len=0"
"19","0.115046800","104.16.18.221","192.168.1.118","TLSv1.2","1953","Certificate, Server Key Exchange, Server Hello Done"
"20","0.115171625","192.168.1.118","104.16.18.221","TCP","54","43320 → 443 [ACK] Seq=518 Ack=3360 Win=61312 Len=0"
"21","0.117121663","192.168.1.118","104.16.18.221","TLSv1.2","180","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"22","0.137587988","104.16.18.221","192.168.1.118","TCP","54","443 → 43320 [ACK] Seq=3360 Ack=644 Win=67584 Len=0"
