frame.number,_ws.col.Time,_ws.col.Source,_ws.col.Destination,_ws.col.Protocol,frame.len,_ws.col.Info
"1","0.000000000","192.168.1.104","255.255.255.255","UDP","217","49154 → 6666 Len=175"
"2","1.070322934","192.168.1.118","192.168.1.102","TCP","176","38457 → 8009 [PSH, ACK] Seq=1 Ack=1 Win=364 Len=110 TSval=26712482 TSecr=5261893 [TCP segment of a reassembled PDU]"
"3","1.077866211","192.168.1.102","192.168.1.118","TCP","176","8009 → 38457 [PSH, ACK] Seq=1 Ack=111 Win=287 Len=110 TSval=5262402 TSecr=26712482 [TCP segment of a reassembled PDU]"
"4","1.077965089","192.168.1.118","192.168.1.102","TCP","66","38457 → 8009 [ACK] Seq=111 Ack=111 Win=364 Len=0 TSval=26712490 TSecr=5262402"
"5","2.770931216","192.168.1.100","224.0.0.251","MDNS","445","Standard query 0x0000 PTR _uscan._tcp.local, "QM" question PTR _ippusb._tcp.local, "QM" question PTR _uscans._tcp.local, "QM" question PTR _scanner._tcp.local, "QM" question PTR _ipp._tcp.local, "QM" question PTR _ipps._tcp.local, "QM" question PTR _printer._tcp.local, "QM" question PTR _pdl-datastream._tcp.local, "QM" question PTR _ptp._tcp.local, "QM" question PTR _airplay._tcp.local, "QM" question PTR _raop._tcp.local, "QM" question PTR _airport._tcp.local, "QM" question PTR _rdlink._tcp.local, "QM" question PTR _homekit._tcp.local, "QM" question PTR _companion-link._tcp.local, "QM" question PTR _apple-mobdev._tcp.local, "QM" question PTR 8ed307c3._sub._apple-mobdev2._tcp.local, "QM" question PTR _apple-pairable._tcp.local, "QM" question PTR _afpovertcp._tcp.local, "QM" question PTR _rfb._tcp.local, "QM" question PTR _adisk._tcp.local, "QM" question PTR cjqg._companion-link._tcp.local OPT"
"6","3.077636063","192.168.1.104","255.255.255.255","UDP","217","49154 → 6666 Len=175"
"7","6.043508777","192.168.1.104","255.255.255.255","UDP","217","49154 → 6666 Len=175"
"8","6.043902765","IntelCor_b7:52:73","Cisco-Li_5b:1c:ce","ARP","60","Who has 192.168.1.1? Tell 192.168.1.118"
"9","6.047682385","Cisco-Li_5b:1c:ce","IntelCor_b7:52:73","ARP","42","192.168.1.1 is at 58:6d:8f:5b:1c:ce"
"10","6.079202013","192.168.1.118","192.168.1.102","TCP","176","38457 → 8009 [PSH, ACK] Seq=111 Ack=111 Win=364 Len=110 TSval=26717491 TSecr=5262402 [TCP segment of a reassembled PDU]"
"11","6.092996796","192.168.1.102","192.168.1.118","TCP","176","8009 → 38457 [PSH, ACK] Seq=111 Ack=221 Win=287 Len=110 TSval=5262904 TSecr=26717491 [TCP segment of a reassembled PDU]"
"12","6.093085074","192.168.1.118","192.168.1.102","TCP","66","38457 → 8009 [ACK] Seq=221 Ack=221 Win=364 Len=0 TSval=26717505 TSecr=5262904"
"13","6.563881926","192.168.1.118","172.217.10.106","TLSv1.2","800","Application Data"
"14","6.584939863","172.217.10.106","192.168.1.118","TCP","66","443 → 41193 [ACK] Seq=1 Ack=735 Win=406 Len=0 TSval=3560948797 TSecr=26717976"
"15","6.674634890","172.217.10.106","192.168.1.118","TLSv1.2","837","Application Data"
"16","6.674732644","192.168.1.118","172.217.10.106","TCP","66","41193 → 443 [ACK] Seq=735 Ack=772 Win=783 Len=0 TSval=26718087 TSecr=3560948887"
"17","6.677427100","172.217.10.106","192.168.1.118","TLSv1.2","1342","Application Data"
"18","6.677505066","192.168.1.118","172.217.10.106","TCP","66","41193 → 443 [ACK] Seq=735 Ack=2048 Win=806 Len=0 TSval=26718089 TSecr=3560948887"
"19","6.677552780","172.217.10.106","192.168.1.118","TLSv1.2","100","Application Data"
"20","6.677571743","192.168.1.118","172.217.10.106","TCP","66","41193 → 443 [ACK] Seq=735 Ack=2082 Win=806 Len=0 TSval=26718089 TSecr=3560948888"
"21","9.010642460","192.168.1.104","255.255.255.255","UDP","217","49154 → 6666 Len=175"
