frame.number,_ws.col.Time,_ws.col.Source,_ws.col.Destination,_ws.col.Protocol,frame.len,_ws.col.Info
"1","0.000000000","192.168.1.104","255.255.255.255","UDP","217","49154 → 6666 Len=175"
"2","0.148423745","192.168.1.118","192.168.1.102","TCP","176","38457 → 8009 [PSH, ACK] Seq=1 Ack=1 Win=364 Len=110 TSval=26471630 TSecr=5237816 [TCP segment of a reassembled PDU]"
"3","0.156049162","192.168.1.102","192.168.1.118","TCP","176","8009 → 38457 [PSH, ACK] Seq=1 Ack=111 Win=287 Len=110 TSval=5238318 TSecr=26471630 [TCP segment of a reassembled PDU]"
"4","0.156155640","192.168.1.118","192.168.1.102","TCP","66","38457 → 8009 [ACK] Seq=111 Ack=111 Win=364 Len=0 TSval=26471638 TSecr=5238318"
"5","1.128110020","Cisco-Li_5b:1c:ce","IntelCor_b7:52:73","ARP","42","Who has 192.168.1.118? Tell 192.168.1.1"
"6","1.128166560","IntelCor_b7:52:73","Cisco-Li_5b:1c:ce","ARP","42","192.168.1.118 is at dc:fb:48:b7:52:73"
"7","2.969265220","192.168.1.104","255.255.255.255","UDP","217","49154 → 6666 Len=175"
"8","5.158218793","192.168.1.118","192.168.1.102","TCP","176","38457 → 8009 [PSH, ACK] Seq=111 Ack=111 Win=364 Len=110 TSval=26476640 TSecr=5238318 [TCP segment of a reassembled PDU]"
"9","5.162078853","192.168.1.102","192.168.1.118","TCP","176","8009 → 38457 [PSH, ACK] Seq=111 Ack=221 Win=287 Len=110 TSval=5238819 TSecr=26476640 [TCP segment of a reassembled PDU]"
"10","5.162186470","192.168.1.118","192.168.1.102","TCP","66","38457 → 8009 [ACK] Seq=221 Ack=221 Win=364 Len=0 TSval=26476644 TSecr=5238819"
"11","5.940873860","192.168.1.104","255.255.255.255","UDP","217","49154 → 6666 Len=175"
