frame.number,_ws.col.Time,_ws.col.Source,_ws.col.Destination,_ws.col.Protocol,frame.len,_ws.col.Info
"1","0.000000000","192.168.1.118","192.168.1.102","TCP","176","42902 → 8009 [PSH, ACK] Seq=1 Ack=1 Win=501 Len=110 TSval=2816452264 TSecr=5029579 [TCP segment of a reassembled PDU]"
"2","0.007751150","192.168.1.102","192.168.1.118","TCP","176","8009 → 42902 [PSH, ACK] Seq=1 Ack=111 Win=277 Len=110 TSval=5030079 TSecr=2816452264 [TCP segment of a reassembled PDU]"
"3","0.007833250","192.168.1.118","192.168.1.102","TCP","66","42902 → 8009 [ACK] Seq=111 Ack=111 Win=501 Len=0 TSval=2816452272 TSecr=5030079"
"4","2.346542188","192.168.1.104","255.255.255.255","UDP","217","49154 → 6666 Len=175"
"5","4.194310088","192.168.1.100","224.0.0.251","MDNS","533","Standard query 0x0000 PTR _googlecast._tcp.local, "QM" question PTR _homekit._tcp.local, "QM" question PTR _uscan._tcp.local, "QM" question PTR _ptp._tcp.local, "QM" question PTR _ippusb._tcp.local, "QM" question PTR _scanner._tcp.local, "QM" question PTR _ipp._tcp.local, "QM" question PTR _pdl-datastream._tcp.local, "QM" question PTR _uscans._tcp.local, "QM" question PTR _ipps._tcp.local, "QM" question PTR _printer._tcp.local, "QM" question PTR _airplay._tcp.local, "QM" question PTR _raop._tcp.local, "QM" question PTR _airport._tcp.local, "QM" question PTR _rdlink._tcp.local, "QM" question PTR _companion-link._tcp.local, "QM" question PTR _afpovertcp._tcp.local, "QM" question PTR _rfb._tcp.local, "QM" question PTR _adisk._tcp.local, "QM" question PTR _apple-mobdev._tcp.local, "QM" question PTR 8ed307c3._sub._apple-mobdev2._tcp.local, "QM" question PTR _apple-pairable._tcp.local, "QM" question TXT Google-Home-Mini-2c3f16b2da5c4b6fd6cfbfba61c12490._googlecast._tcp.local, "QM" question PTR Google-Home-Mini-2c3f16b2da5c4b6fd6cfbfba61c12490._googlecast._tcp.local PTR cjqg._companion-link._tcp.local OPT"
"6","4.199864663","fe80::1cc7:6d9a:a312:7e8f","ff02::fb","MDNS","553","Standard query 0x0000 PTR _googlecast._tcp.local, "QM" question PTR _homekit._tcp.local, "QM" question PTR _uscan._tcp.local, "QM" question PTR _ptp._tcp.local, "QM" question PTR _ippusb._tcp.local, "QM" question PTR _scanner._tcp.local, "QM" question PTR _ipp._tcp.local, "QM" question PTR _pdl-datastream._tcp.local, "QM" question PTR _uscans._tcp.local, "QM" question PTR _ipps._tcp.local, "QM" question PTR _printer._tcp.local, "QM" question PTR _airplay._tcp.local, "QM" question PTR _raop._tcp.local, "QM" question PTR _airport._tcp.local, "QM" question PTR _rdlink._tcp.local, "QM" question PTR _companion-link._tcp.local, "QM" question PTR _afpovertcp._tcp.local, "QM" question PTR _rfb._tcp.local, "QM" question PTR _adisk._tcp.local, "QM" question PTR _apple-mobdev._tcp.local, "QM" question PTR 8ed307c3._sub._apple-mobdev2._tcp.local, "QM" question PTR _apple-pairable._tcp.local, "QM" question TXT Google-Home-Mini-2c3f16b2da5c4b6fd6cfbfba61c12490._googlecast._tcp.local, "QM" question PTR Google-Home-Mini-2c3f16b2da5c4b6fd6cfbfba61c12490._googlecast._tcp.local PTR cjqg._companion-link._tcp.local OPT"
"7","4.292207088","192.168.1.102","224.0.0.251","MDNS","183","Standard query response 0x0000 SRV, cache flush 0 0 8009 2c3f16b2-da5c-4b6f-d6cf-bfba61c12490.local"
"8","4.747810513","192.168.1.118","209.18.47.61","TCP","74","35350 → 853 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=3657738664 TSecr=0 WS=128"
"9","4.748503838","192.168.1.118","209.18.47.62","TCP","74","55820 → 853 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=940291700 TSecr=0 WS=128"
"10","5.009896025","192.168.1.118","192.168.1.102","TCP","176","42902 → 8009 [PSH, ACK] Seq=111 Ack=111 Win=501 Len=110 TSval=2816457274 TSecr=5030079 [TCP segment of a reassembled PDU]"
"11","5.015485450","192.168.1.102","192.168.1.118","TCP","176","8009 → 42902 [PSH, ACK] Seq=111 Ack=221 Win=277 Len=110 TSval=5030580 TSecr=2816457274 [TCP segment of a reassembled PDU]"
"12","5.015568700","192.168.1.118","192.168.1.102","TCP","66","42902 → 8009 [ACK] Seq=221 Ack=221 Win=501 Len=0 TSval=2816457280 TSecr=5030580"
"13","5.317997325","192.168.1.104","255.255.255.255","UDP","217","49154 → 6666 Len=175"
"14","5.763273650","192.168.1.118","209.18.47.61","TCP","74","[TCP Retransmission] 35350 → 853 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=3657739680 TSecr=0 WS=128"
"15","5.763315525","192.168.1.118","209.18.47.62","TCP","74","[TCP Retransmission] 55820 → 853 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=940292715 TSecr=0 WS=128"
"16","7.811282775","192.168.1.118","209.18.47.61","TCP","74","[TCP Retransmission] 35350 → 853 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=3657741728 TSecr=0 WS=128"
"17","7.811325475","192.168.1.118","209.18.47.62","TCP","74","[TCP Retransmission] 55820 → 853 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=940294763 TSecr=0 WS=128"
"18","8.389994500","192.168.1.104","255.255.255.255","UDP","217","49154 → 6666 Len=175"
