frame.number,_ws.col.Time,_ws.col.Source,_ws.col.Destination,_ws.col.Protocol,frame.len,_ws.col.Info
"27","6.281110050","192.168.1.118","192.168.1.102","TCP","66","42902 → 8009 [ACK] Seq=221 Ack=221 Win=501 Len=0 TSval=2817036889 TSecr=5088541"
"28","8.601696750","fe80::1cc7:6d9a:a312:7e8f","ff02::fb","MDNS","125","Standard query 0x0000 PTR _googlecast._tcp.local, "QM" question OPT"
"29","8.603691000","192.168.1.100","224.0.0.251","MDNS","105","Standard query 0x0000 PTR _googlecast._tcp.local, "QM" question OPT"
"30","8.708180725","192.168.1.102","224.0.0.251","MDNS","409","Standard query response 0x0000 PTR Google-Home-Mini-2c3f16b2da5c4b6fd6cfbfba61c12490._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 2c3f16b2-da5c-4b6f-d6cf-bfba61c12490.local A, cache flush 192.168.1.102"
"31","9.010516150","192.168.1.104","255.255.255.255","UDP","217","49154 → 6666 Len=175"
"32","9.114467938","192.168.1.1","239.255.255.250","SSDP","375","NOTIFY * HTTP/1.1 "
"33","9.117924500","192.168.1.1","239.255.255.250","SSDP","320","NOTIFY * HTTP/1.1 "
"34","9.121605363","192.168.1.1","239.255.255.250","SSDP","311","NOTIFY * HTTP/1.1 "
"35","9.125570813","192.168.1.1","239.255.255.250","SSDP","385","NOTIFY * HTTP/1.1 "
"36","9.129635400","192.168.1.1","239.255.255.250","SSDP","395","NOTIFY * HTTP/1.1 "
"37","9.133195013","192.168.1.1","239.255.255.250","SSDP","332","NOTIFY * HTTP/1.1 "
"38","9.136683738","192.168.1.1","239.255.255.250","SSDP","323","NOTIFY * HTTP/1.1 "
"39","9.140690200","192.168.1.1","239.255.255.250","SSDP","387","NOTIFY * HTTP/1.1 "
"40","9.144550725","192.168.1.1","239.255.255.250","SSDP","371","NOTIFY * HTTP/1.1 "
"41","9.148162338","192.168.1.1","239.255.255.250","SSDP","332","NOTIFY * HTTP/1.1 "
"42","9.152231338","192.168.1.1","239.255.255.250","SSDP","403","NOTIFY * HTTP/1.1 "
"43","9.156259375","192.168.1.1","239.255.255.250","SSDP","391","NOTIFY * HTTP/1.1 "
"44","9.160268200","192.168.1.1","239.255.255.250","SSDP","332","NOTIFY * HTTP/1.1 "
"45","9.163823913","192.168.1.1","239.255.255.250","SSDP","385","NOTIFY * HTTP/1.1 "
"46","9.167680350","192.168.1.1","239.255.255.250","SSDP","371","NOTIFY * HTTP/1.1 "
"47","9.171394075","192.168.1.1","239.255.255.250","SSDP","332","NOTIFY * HTTP/1.1 "
