"No.","Time","Source","Destination","Protocol","Length","Info"
"1160","5.874643","Cisco-Li_5b:1c:ce","Apple_53:af:45","802.11","1476","QoS Data, SN=3174, FN=0, Flags=.p....F.C"
"1161","5.875086","Cisco-Li_5b:1c:ce","Apple_53:af:45","802.11","1476","QoS Data, SN=3175, FN=0, Flags=.p....F.C"
"1162","5.875535","Cisco-Li_5b:1c:ce","Apple_53:af:45","802.11","1476","QoS Data, SN=3176, FN=0, Flags=.p....F.C"
"1163","5.875948","Cisco-Li_5b:1c:ce","Apple_53:af:45","802.11","1476","QoS Data, SN=3177, FN=0, Flags=.p....F.C"
"1164","5.876392","Cisco-Li_5b:1c:ce","Apple_53:af:45","802.11","1476","QoS Data, SN=3178, FN=0, Flags=.p....F.C"
"1165","5.876834","Cisco-Li_5b:1c:ce","Apple_53:af:45","802.11","1476","QoS Data, SN=3179, FN=0, Flags=.p....F.C"
"1166","5.877273","Cisco-Li_5b:1c:ce","Apple_53:af:45","802.11","1480","QoS Data, SN=3180, FN=0, Flags=.p....F.C"
"1167","5.877682","Cisco-Li_5b:1c:ce","Apple_53:af:45","802.11","1480","QoS Data, SN=3181, FN=0, Flags=.p....F.C"
"1168","5.877855","Cisco-Li_5b:1c:d0 (58:6d:8f:5b:1c:d0) (TA)","Apple_53:af:45 (38:f9:d3:53:af:45) (RA)","802.11","45","Request-to-send, Flags=........C"
"1169","5.878647","Cisco-Li_5b:1c:d0 (58:6d:8f:5b:1c:d0) (TA)","Apple_53:af:45 (38:f9:d3:53:af:45) (RA)","802.11","45","Request-to-send, Flags=........C"
"1170","5.879149","Cisco-Li_5b:1c:ce","Apple_53:af:45","802.11","1476","QoS Data, SN=3183, FN=0, Flags=.p....F.C"
"1171","5.879234","Cisco-Li_5b:1c:ce","Apple_53:af:45","802.11","1480","QoS Data, SN=3184, FN=0, Flags=.p....F.C"
"1172","5.879550","Cisco-Li_5b:1c:ce","Apple_53:af:45","802.11","1476","QoS Data, SN=3185, FN=0, Flags=.p....F.C"
"1173","5.879597","Cisco-Li_5b:1c:ce","Apple_53:af:45","802.11","1480","QoS Data, SN=3186, FN=0, Flags=.p....F.C"
"1174","5.880107","Cisco-Li_5b:1c:ce","Apple_53:af:45","802.11","1476","QoS Data, SN=3181, FN=0, Flags=.p....F.C"
"1175","5.880373","Cisco-Li_5b:1c:ce","Apple_53:af:45","802.11","1480","QoS Data, SN=3182, FN=0, Flags=.p....F.C"
"1176","5.880746","Cisco-Li_5b:1c:ce","Apple_53:af:45","802.11","1476","QoS Data, SN=3187, FN=0, Flags=.p....F.C"
"1177","5.880945","Cisco-Li_5b:1c:ce","Apple_53:af:45","802.11","1476","QoS Data, SN=3188, FN=0, Flags=.p....F.C"
"1178","5.881123","Cisco-Li_5b:1c:ce","Apple_53:af:45","802.11","1476","QoS Data, SN=3189, FN=0, Flags=.p....F.C"
"1179","5.881347","Cisco-Li_5b:1c:ce","Apple_53:af:45","802.11","1476","QoS Data, SN=3190, FN=0, Flags=.p....F.C"
"1180","5.881565","Cisco-Li_5b:1c:ce","Apple_53:af:45","802.11","1476","QoS Data, SN=3191, FN=0, Flags=.p....F.C"
"1181","5.881615","Cisco-Li_5b:1c:ce","Apple_53:af:45","802.11","191","QoS Data, SN=3192, FN=0, Flags=.p....F.C"
"1182","5.881882","Cisco-Li_5b:1c:ce","Apple_53:af:45","802.11","1476","QoS Data, SN=3193, FN=0, Flags=.p....F.C"
"1183","5.881930","Cisco-Li_5b:1c:ce","Apple_53:af:45","802.11","1476","QoS Data, SN=3194, FN=0, Flags=.p....F.C"
"1184","5.882424","Cisco-Li_5b:1c:ce","Apple_53:af:45","802.11","1476","QoS Data, SN=3195, FN=0, Flags=.p....F.C"
"1185","5.882502","Cisco-Li_5b:1c:ce","Apple_53:af:45","802.11","1476","QoS Data, SN=3196, FN=0, Flags=.p....F.C"
"1186","5.882699","Cisco-Li_5b:1c:ce","Apple_53:af:45","802.11","1476","QoS Data, SN=3197, FN=0, Flags=.p....F.C"
