frame.number,_ws.col.Time,_ws.col.Source,_ws.col.Destination,_ws.col.Protocol,frame.len,_ws.col.Info
"1","0.000000000","104.18.212.105","192.168.1.118","SSL","1514","Continuation Data"
"2","0.005795962","104.18.212.105","192.168.1.118","SSL","1514","Continuation Data"
"3","0.005855325","104.18.212.105","192.168.1.118","SSL","2974","Continuation Data"
"4","0.013133537","104.18.212.105","192.168.1.118","SSL","2974","Continuation Data"
"5","0.013207362","104.18.212.105","192.168.1.118","SSL","502","Continuation Data"
"6","0.014308675","104.18.212.105","192.168.1.118","TLSv1.2","4312","Application Data"
"7","0.014366962","192.168.1.118","104.18.212.105","TCP","54","35364 → 443 [ACK] Seq=1 Ack=4259 Win=1570 Len=0"
"8","0.014408825","104.18.212.105","192.168.1.118","TLSv1.2","399","Application Data"
"9","0.016284637","104.18.212.105","192.168.1.118","TLSv1.2","4312","Application Data"
"10","0.016354037","192.168.1.118","104.18.212.105","TCP","54","35370 → 443 [ACK] Seq=1 Ack=4259 Win=568 Len=0"
"11","0.016392950","104.18.212.105","192.168.1.118","TLSv1.2","139","Application Data"
"12","0.021557012","104.18.212.105","192.168.1.118","TCP","1514","[TCP segment of a reassembled PDU]"
"13","0.025071225","104.18.212.105","192.168.1.118","TLSv1.2","1253","Application Data"
"14","0.025140262","192.168.1.118","104.18.212.105","TCP","54","35366 → 443 [ACK] Seq=1 Ack=2660 Win=547 Len=0"
"15","0.031948925","192.168.1.118","104.18.212.105","TCP","54","35368 → 443 [ACK] Seq=1 Ack=9209 Win=12 Len=0"
"16","0.032024387","192.168.1.118","104.18.212.105","TCP","54","[TCP Window Update] 35368 → 443 [ACK] Seq=1 Ack=9209 Win=227 Len=0"
"17","0.034799362","192.168.1.118","104.18.212.105","TLSv1.2","324","Application Data"
"18","0.036142675","192.168.1.118","104.18.212.105","TLSv1.2","323","Application Data"
"19","0.036372625","192.168.1.118","104.18.212.105","TLSv1.2","324","Application Data"
"20","0.062078600","fe80::1cc7:6d9a:a312:7e8f","ff02::fb","MDNS","539","Standard query 0x0000 PTR _googlecast._tcp.local, "QM" question PTR _homekit._tcp.local, "QM" question PTR _uscan._tcp.local, "QM" question PTR _ptp._tcp.local, "QM" question PTR _ippusb._tcp.local, "QM" question PTR _scanner._tcp.local, "QM" question PTR _ipp._tcp.local, "QM" question PTR _pdl-datastream._tcp.local, "QM" question PTR _uscans._tcp.local, "QM" question PTR _ipps._tcp.local, "QM" question PTR _printer._tcp.local, "QM" question PTR _airplay._tcp.local, "QM" question PTR _raop._tcp.local, "QM" question PTR _airport._tcp.local, "QM" question PTR _rdlink._tcp.local, "QM" question PTR _companion-link._tcp.local, "QM" question PTR _afpovertcp._tcp.local, "QM" question PTR _rfb._tcp.local, "QM" question PTR _adisk._tcp.local, "QM" question PTR _apple-mobdev._tcp.local, "QM" question PTR 8ed307c3._sub._apple-mobdev2._tcp.local, "QM" question PTR _apple-pairable._tcp.local, "QM" question TXT Google-Home-Mini-2c3f16b2da5c4b6fd6cfbfba61c12490._googlecast._tcp.local, "QM" question PTR cjqg._companion-link._tcp.local OPT"
"21","0.064397062","192.168.1.102","224.0.0.251","MDNS","183","Standard query response 0x0000 SRV, cache flush 0 0 8009 2c3f16b2-da5c-4b6f-d6cf-bfba61c12490.local"
"22","0.069465600","192.168.1.100","224.0.0.251","MDNS","519","Standard query 0x0000 PTR _googlecast._tcp.local, "QM" question PTR _homekit._tcp.local, "QM" question PTR _uscan._tcp.local, "QM" question PTR _ptp._tcp.local, "QM" question PTR _ippusb._tcp.local, "QM" question PTR _scanner._tcp.local, "QM" question PTR _ipp._tcp.local, "QM" question PTR _pdl-datastream._tcp.local, "QM" question PTR _uscans._tcp.local, "QM" question PTR _ipps._tcp.local, "QM" question PTR _printer._tcp.local, "QM" question PTR _airplay._tcp.local, "QM" question PTR _raop._tcp.local, "QM" question PTR _airport._tcp.local, "QM" question PTR _rdlink._tcp.local, "QM" question PTR _companion-link._tcp.local, "QM" question PTR _afpovertcp._tcp.local, "QM" question PTR _rfb._tcp.local, "QM" question PTR _adisk._tcp.local, "QM" question PTR _apple-mobdev._tcp.local, "QM" question PTR 8ed307c3._sub._apple-mobdev2._tcp.local, "QM" question PTR _apple-pairable._tcp.local, "QM" question TXT Google-Home-Mini-2c3f16b2da5c4b6fd6cfbfba61c12490._googlecast._tcp.local, "QM" question PTR cjqg._companion-link._tcp.local OPT"
"23","0.072270050","104.18.212.105","192.168.1.118","TCP","1514","443 → 35368 [ACK] Seq=9209 Ack=1 Win=67 Len=1460"
"24","0.075280625","192.168.1.118","104.18.212.105","TCP","54","35368 → 443 [ACK] Seq=1 Ack=10669 Win=470 Len=0"
"25","0.079140800","104.18.212.105","192.168.1.118","TCP","130","[TCP segment of a reassembled PDU]"
"26","0.079224525","104.18.212.105","192.168.1.118","TCP","2974","443 → 35368 [PSH, ACK] Seq=10745 Ack=1 Win=67 Len=2920 [TCP segment of a reassembled PDU]"
"27","0.079247225","104.18.212.105","192.168.1.118","TCP","2974","443 → 35368 [PSH, ACK] Seq=13665 Ack=1 Win=67 Len=2920 [TCP segment of a reassembled PDU]"
"28","0.079311650","104.18.212.105","192.168.1.118","TCP","2974","443 → 35368 [PSH, ACK] Seq=16585 Ack=1 Win=67 Len=2920 [TCP segment of a reassembled PDU]"
"29","0.079333700","104.18.212.105","192.168.1.118","TCP","2974","443 → 35368 [PSH, ACK] Seq=19505 Ack=1 Win=67 Len=2920 [TCP segment of a reassembled PDU]"
"30","0.079354037","104.18.212.105","192.168.1.118","TCP","2974","443 → 35368 [PSH, ACK] Seq=22425 Ack=1 Win=67 Len=2920 [TCP segment of a reassembled PDU]"
"31","0.079382825","104.18.212.105","192.168.1.118","SSLv2","2974","Encrypted Data, Continuation Data"
"32","0.079403400","104.18.212.105","192.168.1.118","SSL","2974","Continuation Data"
"33","0.079421225","104.18.212.105","192.168.1.118","SSL","1514","Continuation Data"
"34","0.094343125","104.18.212.105","192.168.1.118","SSL","1514","Continuation Data"
"35","0.094403987","104.18.212.105","192.168.1.118","SSL","2974","Continuation Data"
"36","0.094424937","104.18.212.105","192.168.1.118","TCP","1514","[TCP segment of a reassembled PDU]"
"37","0.094498512","104.18.212.105","192.168.1.118","TLSv1.2","2342","Application Data"
"38","0.094531525","192.168.1.118","104.18.212.105","TCP","54","35364 → 443 [ACK] Seq=271 Ack=8352 Win=1651 Len=0"
"39","0.103595250","104.18.212.105","192.168.1.118","SSL","2974","Continuation Data"
"40","0.103660087","104.18.212.105","192.168.1.118","SSL","1438","Continuation Data"
"41","0.103670275","104.18.212.105","192.168.1.118","SSL","1514","Continuation Data"
"42","0.103726400","104.18.212.105","192.168.1.118","SSL","1514","Continuation Data"
"43","0.104702700","104.18.212.105","192.168.1.118","SSL","2974","Continuation Data"
"44","0.105772250","104.18.212.105","192.168.1.118","SSL","2974","Continuation Data"
"45","0.107692250","104.18.212.105","192.168.1.118","SSL","2974","Continuation Data"
"46","0.112759925","104.18.212.105","192.168.1.118","SSL","2974","Continuation Data"
"47","0.112830862","192.168.1.118","104.18.212.105","TCP","54","35368 → 443 [ACK] Seq=1 Ack=55929 Win=117 Len=0"
"48","0.115096462","104.18.212.105","192.168.1.118","SSL","2974","Continuation Data"
"49","0.115157125","104.18.212.105","192.168.1.118","SSL","2974","Continuation Data"
"50","0.115200950","104.18.212.105","192.168.1.118","SSL","2974","Continuation Data"
"51","0.117818737","104.18.212.105","192.168.1.118","TLSv1.2","3181","Application Data"
"52","0.117893212","192.168.1.118","104.18.212.105","TCP","54","35366 → 443 [ACK] Seq=270 Ack=5787 Win=596 Len=0"
