frame.number,_ws.col.Time,_ws.col.Source,_ws.col.Destination,_ws.col.Protocol,frame.len,_ws.col.Info
"1","0.000000000","192.168.1.118","69.147.82.61","TLSv1.2","427","Application Data"
"2","0.002206150","69.147.82.61","192.168.1.118","TLSv1.2","1395","Application Data"
"3","0.002289600","192.168.1.118","69.147.82.61","TCP","66","35328 → 443 [ACK] Seq=1 Ack=1330 Win=524 Len=0 TSval=2268510529 TSecr=710485286"
"4","0.002352100","69.147.82.61","192.168.1.118","TLSv1.2","4410","Application Data, Application Data, Application Data"
"5","0.002371187","192.168.1.118","69.147.82.61","TCP","66","35328 → 443 [ACK] Seq=1 Ack=5674 Win=592 Len=0 TSval=2268510529 TSecr=710485286"
"6","0.002597812","69.147.82.61","192.168.1.118","TLSv1.2","14546","Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
"7","0.002627362","192.168.1.118","69.147.82.61","TCP","66","35328 → 443 [ACK] Seq=1 Ack=20154 Win=818 Len=0 TSval=2268510529 TSecr=710485286"
"8","0.002641925","69.147.82.61","192.168.1.118","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]"
"9","0.028469825","192.168.1.118","69.147.82.61","TLSv1.2","424","Application Data"
"10","0.032715837","69.147.82.61","192.168.1.118","TLSv1.2","4410","Application Data, Application Data, Application Data"
"11","0.032786387","192.168.1.118","69.147.82.61","TCP","66","35328 → 443 [ACK] Seq=1 Ack=25946 Win=908 Len=0 TSval=2268510559 TSecr=710485287"
"12","0.037483312","192.168.1.118","69.147.82.61","TCP","66","35336 → 443 [ACK] Seq=1 Ack=1 Win=438 Len=0 TSval=2268510564 TSecr=2591316416"
"13","0.046694800","69.147.82.61","192.168.1.118","TLSv1.2","761","Application Data"
"14","0.046771537","192.168.1.118","69.147.82.61","TCP","66","35332 → 443 [ACK] Seq=362 Ack=696 Win=524 Len=0 TSval=2268510573 TSecr=2591317139"
"15","0.055612537","69.147.82.61","192.168.1.118","TLSv1.2","1395","Application Data"
"16","0.055679175","192.168.1.118","69.147.82.61","TCP","66","35332 → 443 [ACK] Seq=362 Ack=2025 Win=546 Len=0 TSval=2268510582 TSecr=2591317139"
"17","0.055726687","69.147.82.61","192.168.1.118","TLSv1.2","1514","Application Data"
"18","0.055742925","192.168.1.118","69.147.82.61","TCP","66","35332 → 443 [ACK] Seq=362 Ack=3473 Win=569 Len=0 TSval=2268510582 TSecr=2591317139"
"19","0.062908225","69.147.82.61","192.168.1.118","TLSv1.2","2962","Application Data, Application Data"
