frame.number,_ws.col.Time,_ws.col.Source,_ws.col.Destination,_ws.col.Protocol,frame.len,_ws.col.Info
"1","0.000000000","104.16.15.221","192.168.1.118","TCP","54","443 → 41760 [ACK] Seq=1 Ack=1 Win=66 Len=0"
"2","0.002039763","104.16.15.221","192.168.1.118","TLSv1.2","105","Change Cipher Spec, Encrypted Handshake Message"
"3","0.002607275","192.168.1.118","104.16.15.221","TLSv1.2","417","Application Data"
"4","0.020377050","104.16.15.221","192.168.1.118","TCP","54","443 → 41760 [ACK] Seq=52 Ack=364 Win=67 Len=0"
"5","0.041452400","104.16.15.221","192.168.1.118","TLSv1.2","1452","Application Data"
"6","0.043219538","104.16.15.221","192.168.1.118","TLSv1.2","346","Application Data"
"7","0.043275063","104.16.15.221","192.168.1.118","TLSv1.2","88","Application Data"
"8","0.043393863","192.168.1.118","104.16.15.221","TCP","54","41760 → 443 [ACK] Seq=364 Ack=1776 Win=490 Len=0"
"9","0.267255438","192.168.1.100","224.0.0.251","MDNS","292","Standard query response 0x0000 SRV, cache flush 0 0 8770 cjqg.local TXT, cache flush PTR _airdrop._tcp.local PTR 6f173fd81b1c._airdrop._tcp.local AAAA, cache flush fe80::45c:ffe2:64f:744b A, cache flush 192.168.1.100 NSEC, cache flush cjqg.local NSEC, cache flush 6f173fd81b1c._airdrop._tcp.local OPT"
"10","2.230085588","192.168.1.118","172.217.3.99","TCP","66","41374 → 80 [ACK] Seq=1 Ack=1 Win=502 Len=0 TSval=4167085313 TSecr=2476219407"
"11","2.291424538","172.217.3.99","192.168.1.118","TCP","66","[TCP ACKed unseen segment] 80 → 41374 [ACK] Seq=1 Ack=2 Win=240 Len=0 TSval=2476264507 TSecr=4166857196"
